timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHUSDTUMCBL_bid,Bitget_ETHUSDTUMCBL_ask
2023-08-01 16:34:46,1828.45,1828.68,1829.95,1830.0,1828.94,1828.95
2023-08-01 16:34:57,1829.66,1829.84,1830.85,1830.9,1829.84,1829.86
2023-08-01 16:35:08,1829.74,1829.88,1831.25,1831.3,1830.16,1830.18
2023-08-01 16:35:20,1830.15,1830.24,1831.45,1831.5,1830.35,1830.37
2023-08-01 16:35:30,1829.24,1829.39,1830.4,1830.45,1829.19,1829.2
2023-08-01 16:35:42,1828.85,1829.11,1830.05,1830.1,1828.57,1828.58
2023-08-01 16:35:52,1830.37,1830.5,1831.4,1831.45,1829.99,1830.0
2023-08-01 16:36:03,1829.94,1830.11,1831.3,1831.35,1830.18,1830.19
2023-08-01 16:36:14,1829.58,1829.75,1830.8,1830.85,1829.46,1829.47
2023-08-01 16:36:25,1829.25,1829.38,1831.15,1831.2,1829.52,1829.53
2023-08-01 16:36:35,1829.68,1829.79,1830.9,1830.95,1829.33,1829.35
2023-08-01 16:36:46,1829.36,1829.51,1830.9,1830.95,1829.35,1829.36
2023-08-01 16:36:57,1830.01,1830.17,1831.4,1831.45,1829.89,1829.9
2023-08-01 16:37:07,1830.56,1830.74,1831.75,1831.8,1830.44,1830.45
2023-08-01 16:37:18,1832.25,1832.59,1834.05,1834.1,1832.49,1832.5
2023-08-01 16:37:29,1830.4,1830.59,1832.15,1832.2,1830.75,1830.77
2023-08-01 16:37:40,1829.82,1829.91,1831.05,1831.1,1830.4,1830.41
2023-08-01 16:37:51,1830.0,1830.17,1831.1,1831.15,1830.04,1830.05
2023-08-01 16:38:01,1828.93,1829.09,1830.1,1830.15,1829.51,1829.52
2023-08-01 16:38:12,1829.04,1829.13,1830.2,1830.25,1829.18,1829.19
2023-08-01 16:38:22,1828.72,1828.88,1830.3,1830.35,1829.06,1829.07
2023-08-01 16:38:33,1828.58,1828.72,1830.2,1830.25,1828.73,1828.74
2023-08-01 16:38:44,1828.53,1828.67,1829.3,1829.35,1828.41,1828.43
2023-08-01 16:38:54,1828.37,1828.49,1829.6,1829.65,1828.5,1828.51
2023-08-01 16:39:06,1828.75,1828.81,1829.65,1829.7,1828.62,1828.63
2023-08-01 16:39:17,1828.78,1828.82,1829.5,1829.55,1828.62,1828.63
2023-08-01 16:39:28,1828.2,1828.25,1829.3,1829.35,1828.2,1828.21
2023-08-01 16:39:38,1828.42,1828.74,1829.8,1829.85,1828.83,1828.84
2023-08-01 16:39:49,1829.01,1829.14,1829.85,1829.9,1828.8,1828.82
2023-08-01 16:39:59,1828.78,1828.91,1829.85,1829.9,1828.81,1828.82
2023-08-01 16:40:10,1829.2,1829.31,1830.25,1830.3,1829.01,1829.02
2023-08-01 16:40:21,1830.35,1830.49,1831.4,1831.45,1830.35,1830.36
2023-08-01 16:40:32,1829.66,1829.81,1831.0,1831.05,1829.84,1829.85
2023-08-01 16:40:42,1829.49,1829.65,1830.7,1830.75,1829.8,1829.81
2023-08-01 16:40:53,1830.2,1830.32,1831.5,1831.55,1830.28,1830.29
2023-08-01 16:41:03,1830.2,1830.37,1831.2,1831.25,1830.0,1830.01
2023-08-01 16:41:14,1831.25,1831.45,1832.45,1832.5,1831.45,1831.46
2023-08-01 16:41:25,1831.29,1831.41,1832.7,1832.75,1831.68,1831.69
2023-08-01 16:41:35,1831.02,1831.17,1832.25,1832.3,1831.11,1831.12
2023-08-01 16:41:46,1831.51,1831.59,1832.85,1832.9,1831.61,1831.63
2023-08-01 16:41:57,1831.13,1831.34,1832.5,1832.55,1831.45,1831.46
2023-08-01 16:42:08,1830.93,1831.15,1832.5,1832.55,1831.19,1831.2
2023-08-01 16:42:18,1829.84,1829.99,1831.6,1831.65,1830.59,1830.6
2023-08-01 16:42:29,1829.67,1829.79,1831.25,1831.3,1830.0,1830.01
2023-08-01 16:42:40,1829.92,1830.02,1831.35,1831.4,1830.1,1830.12
2023-08-01 16:42:50,1829.95,1830.08,1831.45,1831.5,1830.2,1830.21
2023-08-01 16:43:01,1829.14,1829.25,1830.75,1830.8,1829.64,1829.65
2023-08-01 16:43:12,1829.41,1829.53,1830.95,1831.0,1829.77,1829.78
2023-08-01 16:43:23,1829.93,1830.09,1831.45,1831.5,1830.16,1830.17
2023-08-01 16:43:34,1829.51,1829.66,1831.0,1831.05,1829.89,1829.9
2023-08-01 16:43:44,1829.67,1829.85,1831.15,1831.2,1830.11,1830.12
2023-08-01 16:43:55,1830.18,1830.39,1831.5,1831.55,1830.35,1830.36
2023-08-01 16:44:06,1830.42,1830.6,1832.1,1832.15,1830.94,1830.95
2023-08-01 16:44:16,1830.61,1830.73,1832.3,1832.35,1830.91,1830.92
2023-08-01 16:44:27,1830.6,1830.8,1832.3,1832.35,1830.86,1830.87
2023-08-01 16:44:37,1830.37,1830.55,1832.3,1832.35,1830.95,1830.96
2023-08-01 16:44:48,1831.31,1831.47,1832.3,1832.35,1830.86,1830.87
2023-08-01 16:44:58,1831.81,1831.95,1833.15,1833.2,1831.9,1831.91
2023-08-01 16:45:09,1832.46,1832.73,1833.7,1833.75,1832.36,1832.37
2023-08-01 16:45:20,1832.31,1832.44,1833.95,1834.0,1832.61,1832.63
2023-08-01 16:45:30,1831.84,1831.99,1833.4,1833.45,1832.19,1832.2
2023-08-01 16:45:41,1832.86,1833.13,1834.35,1834.4,1833.19,1833.2
2023-08-01 16:45:51,1831.75,1831.9,1833.65,1833.7,1832.4,1832.41
2023-08-01 16:46:02,1832.16,1832.3,1833.55,1833.6,1832.69,1832.7
2023-08-01 16:46:13,1831.77,1831.92,1833.5,1833.55,1832.1,1832.11
2023-08-01 16:46:24,1831.06,1831.29,1832.7,1832.75,1831.46,1831.47
2023-08-01 16:46:35,1830.72,1830.88,1832.35,1832.4,1830.92,1830.93
2023-08-01 16:46:45,1830.65,1830.82,1832.35,1832.4,1830.87,1830.88
2023-08-01 16:46:56,1830.92,1831.09,1832.35,1832.4,1830.85,1830.86
2023-08-01 16:47:07,1830.25,1830.43,1832.15,1832.2,1830.86,1830.87
2023-08-01 16:47:18,1830.53,1830.68,1832.0,1832.05,1830.8,1830.81
2023-08-01 16:47:29,1830.01,1830.27,1831.8,1831.85,1830.33,1830.34
2023-08-01 16:47:39,1830.03,1830.17,1831.8,1831.85,1830.33,1830.34
2023-08-01 16:47:50,1830.02,1830.14,1831.5,1831.55,1830.33,1830.34
2023-08-01 16:48:01,1829.76,1829.88,1831.3,1831.35,1830.33,1830.34
2023-08-01 16:48:11,1830.11,1830.25,1831.25,1831.3,1830.34,1830.35
2023-08-01 16:48:22,1830.75,1830.88,1832.0,1832.05,1831.03,1831.04
2023-08-01 16:48:33,1831.31,1831.42,1832.35,1832.4,1831.24,1831.25
2023-08-01 16:48:45,1831.8,1831.98,1833.5,1833.55,1832.12,1832.13
2023-08-01 16:48:55,1831.41,1831.74,1833.15,1833.2,1832.02,1832.03
2023-08-01 16:49:07,1831.54,1831.61,1833.15,1833.2,1831.8,1831.82
2023-08-01 16:49:18,1831.63,1831.93,1833.1,1833.15,1831.91,1831.93
2023-08-01 16:49:28,1831.57,1831.76,1833.1,1833.15,1831.84,1831.85
2023-08-01 16:49:39,1831.9,1832.05,1833.15,1833.2,1832.31,1832.32
2023-08-01 16:49:50,1831.91,1832.04,1833.15,1833.2,1832.11,1832.12
2023-08-01 16:50:01,1830.55,1830.68,1832.0,1832.05,1831.0,1831.01
2023-08-01 16:50:12,1830.5,1830.69,1831.9,1831.95,1830.82,1830.83
2023-08-01 16:50:23,1829.72,1829.89,1830.75,1830.8,1829.8,1829.82
2023-08-01 16:50:34,1829.47,1829.55,1830.75,1830.8,1829.65,1829.66
2023-08-01 16:50:44,1829.3,1829.39,1830.75,1830.8,1829.61,1829.62
2023-08-01 16:50:55,1829.27,1829.37,1830.75,1830.8,1829.64,1829.65
2023-08-01 16:51:06,1829.49,1829.59,1830.75,1830.8,1829.64,1829.65
2023-08-01 16:51:17,1829.57,1829.66,1830.75,1830.8,1829.64,1829.65
2023-08-01 16:51:29,1829.96,1830.1,1830.95,1831.0,1830.04,1830.06
2023-08-01 16:51:39,1829.86,1829.99,1831.2,1831.25,1830.05,1830.06
2023-08-01 16:51:50,1830.2,1830.28,1831.35,1831.4,1830.28,1830.29
2023-08-01 16:52:00,1831.15,1831.2,1832.2,1832.25,1831.15,1831.16
2023-08-01 16:52:12,1831.27,1831.4,1832.45,1832.5,1831.34,1831.35
2023-08-01 16:52:22,1830.53,1830.71,1831.7,1831.75,1830.81,1830.83
2023-08-01 16:52:33,1829.7,1829.8,1831.5,1831.55,1830.18,1830.19
2023-08-01 16:52:43,1829.61,1829.79,1831.25,1831.3,1830.0,1830.01
2023-08-01 16:52:54,1829.61,1829.7,1831.2,1831.25,1830.03,1830.04
2023-08-01 16:53:06,1829.69,1829.89,1831.2,1831.25,1830.03,1830.04
2023-08-01 16:53:16,1830.41,1830.52,1831.95,1832.0,1830.68,1830.69
2023-08-01 16:53:27,1830.8,1830.94,1832.15,1832.2,1830.76,1830.77
2023-08-01 16:53:38,1830.96,1831.09,1832.6,1832.65,1831.19,1831.21
2023-08-01 16:53:49,1830.99,1831.1,1832.6,1832.65,1831.19,1831.2
2023-08-01 16:53:59,1830.66,1830.78,1832.6,1832.65,1831.2,1831.21
2023-08-01 16:54:11,1830.12,1830.28,1831.65,1831.7,1830.44,1830.45
2023-08-01 16:54:22,1830.39,1830.56,1831.65,1831.7,1830.57,1830.58
2023-08-01 16:54:32,1831.1,1831.22,1832.6,1832.65,1831.34,1831.35
2023-08-01 16:54:43,1830.97,1831.11,1832.35,1832.4,1831.19,1831.2
2023-08-01 16:54:55,1831.5,1831.7,1832.9,1832.95,1831.74,1831.75
2023-08-01 16:55:06,1831.09,1831.23,1832.7,1832.75,1831.56,1831.58
2023-08-01 16:55:17,1831.25,1831.42,1832.7,1832.75,1831.66,1831.67
2023-08-01 16:55:28,1832.3,1832.5,1833.7,1833.75,1832.71,1832.72
2023-08-01 16:55:40,1834.0,1834.1,1835.5,1835.55,1834.43,1834.45
2023-08-01 16:55:51,1833.74,1833.84,1835.6,1835.65,1834.43,1834.44
2023-08-01 16:56:02,1834.53,1834.66,1835.85,1835.9,1835.06,1835.07
2023-08-01 16:56:13,1834.63,1834.75,1836.15,1836.2,1835.3,1835.31
2023-08-01 16:56:24,1833.3,1833.43,1835.2,1835.25,1834.26,1834.28
2023-08-01 16:56:35,1834.59,1834.77,1836.1,1836.15,1835.24,1835.25
2023-08-01 16:56:46,1834.1,1834.39,1835.7,1835.75,1834.44,1834.45
2023-08-01 16:56:56,1833.07,1833.15,1834.75,1834.8,1833.86,1833.87
2023-08-01 16:57:07,1832.71,1832.91,1834.75,1834.8,1833.44,1833.45
2023-08-01 16:57:17,1832.04,1832.18,1833.75,1833.8,1832.77,1832.78
2023-08-01 16:57:29,1831.83,1832.0,1833.35,1833.4,1832.07,1832.08
2023-08-01 16:57:39,1831.76,1831.91,1833.35,1833.4,1831.74,1831.76
2023-08-01 16:57:50,1832.24,1832.38,1833.6,1833.65,1832.44,1832.45
2023-08-01 16:58:00,1832.33,1832.48,1833.6,1833.65,1832.35,1832.36
2023-08-01 16:58:11,1833.03,1833.17,1834.05,1834.1,1832.99,1833.0
2023-08-01 16:58:22,1833.03,1833.16,1834.05,1834.1,1833.17,1833.18
2023-08-01 16:58:34,1832.56,1832.69,1834.05,1834.1,1832.88,1832.89
2023-08-01 16:58:44,1832.48,1832.59,1834.05,1834.1,1832.83,1832.84
2023-08-01 16:58:56,1832.45,1832.57,1834.05,1834.1,1832.83,1832.84
2023-08-01 16:59:06,1832.5,1832.63,1834.3,1834.35,1832.79,1832.81
2023-08-01 16:59:17,1832.49,1832.59,1834.5,1834.55,1832.79,1832.8
2023-08-01 16:59:28,1832.55,1832.67,1834.2,1834.25,1832.79,1832.81
2023-08-01 16:59:39,1832.3,1832.49,1834.2,1834.25,1832.75,1832.76
2023-08-01 16:59:49,1832.73,1832.87,1834.2,1834.25,1833.0,1833.01
2023-08-01 17:00:00,1833.38,1833.46,1834.7,1834.75,1833.68,1833.69
2023-08-01 17:00:10,1833.65,1833.82,1834.85,1834.9,1833.99,1834.0
2023-08-01 17:00:22,1833.34,1833.6,1835.0,1835.05,1833.94,1833.95
2023-08-01 17:00:33,1832.81,1833.0,1834.5,1834.55,1833.4,1833.41
2023-08-01 17:00:44,1833.03,1833.17,1834.7,1834.75,1833.41,1833.42
2023-08-01 17:00:56,1832.93,1832.97,1834.7,1834.75,1833.4,1833.41
2023-08-01 17:01:06,1833.01,1833.16,1834.7,1834.75,1833.48,1833.49
2023-08-01 17:01:17,1833.53,1833.64,1834.7,1834.75,1833.83,1833.84
2023-08-01 17:01:29,1833.08,1833.3,1834.8,1834.85,1833.54,1833.56
2023-08-01 17:01:40,1833.01,1833.18,1834.6,1834.65,1833.37,1833.38
2023-08-01 17:01:52,1833.26,1833.38,1834.65,1834.7,1833.56,1833.57
2023-08-01 17:02:03,1833.27,1833.4,1834.8,1834.85,1833.76,1833.77
2023-08-01 17:02:14,1833.4,1833.52,1835.0,1835.05,1833.94,1833.95
2023-08-01 17:02:24,1833.31,1833.49,1834.85,1834.9,1833.89,1833.9
2023-08-01 17:02:35,1833.53,1833.7,1835.05,1835.1,1833.93,1833.94
2023-08-01 17:02:46,1833.66,1833.82,1835.05,1835.1,1834.01,1834.03
2023-08-01 17:02:57,1834.3,1834.44,1835.65,1835.7,1834.49,1834.5
2023-08-01 17:03:08,1834.33,1834.52,1835.6,1835.65,1834.74,1834.75
2023-08-01 17:03:19,1833.83,1833.99,1835.35,1835.4,1834.39,1834.4
2023-08-01 17:03:30,1833.71,1833.92,1835.2,1835.25,1834.39,1834.4
2023-08-01 17:03:41,1833.61,1833.73,1834.85,1834.9,1833.99,1834.0
2023-08-01 17:03:51,1833.23,1833.49,1834.85,1834.9,1833.84,1833.85
2023-08-01 17:04:02,1833.81,1833.92,1834.85,1834.9,1834.06,1834.07
2023-08-01 17:04:13,1834.48,1834.59,1835.8,1835.85,1834.85,1834.86
2023-08-01 17:04:24,1834.54,1834.75,1836.25,1836.3,1834.95,1834.97
2023-08-01 17:04:35,1835.6,1836.06,1836.9,1836.95,1835.99,1836.0
2023-08-01 17:04:46,1836.05,1836.22,1837.95,1838.0,1836.71,1836.73
2023-08-01 17:04:57,1836.0,1836.08,1837.7,1837.75,1836.56,1836.57
2023-08-01 17:05:09,1835.92,1836.05,1837.45,1837.5,1836.43,1836.44
2023-08-01 17:05:20,1836.96,1837.15,1838.1,1838.15,1837.38,1837.39
2023-08-01 17:05:30,1837.72,1837.79,1839.15,1839.2,1838.31,1838.33
2023-08-01 17:05:41,1837.93,1838.02,1839.65,1839.7,1838.33,1838.34
2023-08-01 17:05:52,1838.17,1838.32,1839.85,1839.9,1838.8,1838.81
2023-08-01 17:06:02,1838.02,1838.16,1839.65,1839.7,1838.25,1838.27
2023-08-01 17:06:13,1838.49,1838.59,1839.85,1839.9,1838.86,1838.87
2023-08-01 17:06:23,1837.77,1837.92,1839.8,1839.85,1838.65,1838.66
2023-08-01 17:06:34,1838.67,1838.7,1840.0,1840.05,1838.98,1839.01
2023-08-01 17:06:45,1839.51,1839.66,1840.3,1840.35,1839.43,1839.45
2023-08-01 17:06:55,1838.95,1839.09,1840.15,1840.2,1839.51,1839.52
2023-08-01 17:07:07,1838.2,1838.33,1839.1,1839.15,1838.49,1838.5
2023-08-01 17:07:18,1838.11,1838.19,1839.35,1839.4,1838.66,1838.67
2023-08-01 17:07:29,1839.88,1839.99,1840.95,1841.0,1840.49,1840.51
2023-08-01 17:07:40,1840.67,1840.77,1841.65,1841.7,1841.07,1841.09
2023-08-01 17:07:51,1840.04,1840.19,1841.3,1841.35,1840.44,1840.45
2023-08-01 17:08:01,1838.58,1838.69,1840.1,1840.15,1838.86,1838.87
2023-08-01 17:08:12,1838.6,1838.76,1840.05,1840.1,1838.96,1838.97
2023-08-01 17:08:22,1837.89,1838.06,1839.45,1839.5,1838.46,1838.47
2023-08-01 17:08:33,1838.04,1838.17,1839.4,1839.45,1838.42,1838.43
2023-08-01 17:08:44,1838.2,1838.32,1839.55,1839.6,1838.44,1838.45
2023-08-01 17:08:54,1838.16,1838.28,1839.8,1839.85,1838.56,1838.57
2023-08-01 17:09:06,1837.69,1837.76,1839.05,1839.1,1838.11,1838.12
2023-08-01 17:09:17,1838.47,1838.6,1839.75,1839.8,1838.49,1838.5
2023-08-01 17:09:27,1838.16,1838.29,1839.65,1839.7,1838.52,1838.53
2023-08-01 17:09:39,1838.28,1838.38,1839.65,1839.7,1838.51,1838.52
2023-08-01 17:09:49,1838.44,1838.6,1840.0,1840.05,1839.08,1839.09
2023-08-01 17:10:01,1838.96,1839.08,1840.3,1840.35,1839.12,1839.13
2023-08-01 17:10:12,1839.33,1839.48,1840.75,1840.8,1839.83,1839.84
2023-08-01 17:10:24,1838.16,1838.33,1839.6,1839.65,1838.44,1838.45
2023-08-01 17:10:35,1837.49,1837.68,1838.75,1838.8,1837.81,1837.82
2023-08-01 17:10:46,1837.79,1837.95,1839.2,1839.25,1838.29,1838.3
2023-08-01 17:10:58,1838.53,1838.65,1839.65,1839.7,1838.9,1838.91
2023-08-01 17:11:09,1837.68,1837.8,1838.8,1838.85,1838.11,1838.12
2023-08-01 17:11:20,1837.24,1837.37,1838.7,1838.75,1837.59,1837.6
2023-08-01 17:11:31,1837.27,1837.38,1838.7,1838.75,1837.5,1837.51
2023-08-01 17:11:42,1837.07,1837.19,1838.65,1838.7,1837.36,1837.37
2023-08-01 17:11:53,1837.15,1837.3,1838.65,1838.7,1837.29,1837.3
2023-08-01 17:12:04,1836.86,1836.98,1838.1,1838.15,1837.27,1837.28
2023-08-01 17:12:14,1837.03,1837.13,1838.35,1838.4,1837.1,1837.12
2023-08-01 17:12:25,1836.46,1836.58,1837.6,1837.65,1836.94,1836.95
2023-08-01 17:12:36,1836.49,1836.6,1837.4,1837.45,1836.63,1836.64
2023-08-01 17:12:46,1836.27,1836.43,1837.05,1837.1,1836.62,1836.63
2023-08-01 17:12:57,1836.07,1836.18,1837.2,1837.25,1836.61,1836.62
2023-08-01 17:13:08,1836.4,1836.53,1836.95,1837.0,1836.45,1836.46
2023-08-01 17:13:19,1835.61,1835.78,1836.55,1836.6,1835.87,1835.89
2023-08-01 17:13:30,1835.93,1836.0,1837.2,1837.25,1836.04,1836.05
2023-08-01 17:13:41,1836.58,1836.72,1837.75,1837.8,1836.83,1836.84
2023-08-01 17:13:52,1836.47,1836.58,1837.55,1837.6,1836.76,1836.77
2023-08-01 17:14:03,1836.55,1836.72,1837.55,1837.6,1836.49,1836.5
2023-08-01 17:14:14,1836.34,1836.48,1837.35,1837.4,1836.71,1836.72
2023-08-01 17:14:25,1836.53,1836.64,1837.35,1837.4,1836.71,1836.72
2023-08-01 17:14:36,1836.47,1836.6,1837.35,1837.4,1836.71,1836.72
2023-08-01 17:14:46,1837.04,1837.2,1837.85,1837.9,1836.99,1837.0
2023-08-01 17:14:57,1837.36,1837.51,1838.1,1838.15,1837.59,1837.6
2023-08-01 17:15:08,1837.33,1837.45,1838.25,1838.3,1837.56,1837.57
2023-08-01 17:15:18,1836.46,1836.58,1837.45,1837.5,1836.9,1836.91
2023-08-01 17:15:29,1835.9,1836.05,1837.0,1837.05,1836.63,1836.64
2023-08-01 17:15:40,1836.65,1836.71,1837.1,1837.15,1836.88,1836.89
2023-08-01 17:15:51,1836.37,1836.5,1837.1,1837.15,1836.74,1836.75
2023-08-01 17:16:01,1835.64,1835.78,1836.55,1836.6,1836.12,1836.13
2023-08-01 17:16:12,1836.29,1836.45,1836.85,1836.9,1836.52,1836.53
2023-08-01 17:16:22,1836.57,1836.66,1837.45,1837.5,1837.06,1837.07
2023-08-01 17:16:33,1835.72,1835.84,1836.35,1836.4,1836.2,1836.21
2023-08-01 17:16:44,1834.94,1835.11,1836.1,1836.15,1835.82,1835.83
2023-08-01 17:16:54,1834.97,1835.1,1835.75,1835.8,1835.82,1835.83
2023-08-01 17:17:05,1834.71,1834.84,1835.35,1835.4,1835.5,1835.51
2023-08-01 17:17:15,1834.6,1834.75,1835.35,1835.4,1835.5,1835.51
2023-08-01 17:17:26,1834.68,1834.78,1835.0,1835.05,1834.85,1834.86
2023-08-01 17:17:37,1834.53,1834.67,1834.9,1834.95,1834.75,1834.77
2023-08-01 17:17:47,1834.1,1834.19,1834.55,1834.6,1834.47,1834.48
2023-08-01 17:17:58,1834.56,1834.59,1835.0,1835.05,1834.71,1834.72
2023-08-01 17:18:09,1834.38,1834.47,1835.0,1835.05,1834.62,1834.63
2023-08-01 17:18:20,1833.96,1834.07,1834.8,1834.85,1834.26,1834.27
2023-08-01 17:18:31,1833.69,1833.83,1834.8,1834.85,1833.91,1833.93
2023-08-01 17:18:42,1834.04,1834.2,1834.8,1834.85,1834.13,1834.14
2023-08-01 17:18:53,1834.6,1834.72,1835.1,1835.15,1834.72,1834.73
2023-08-01 17:19:04,1834.07,1834.21,1834.65,1834.7,1834.42,1834.43
2023-08-01 17:19:15,1833.99,1834.08,1834.55,1834.6,1834.24,1834.25
2023-08-01 17:19:25,1833.61,1833.74,1834.5,1834.55,1833.88,1833.89
2023-08-01 17:19:36,1833.48,1833.65,1834.15,1834.2,1833.75,1833.76
2023-08-01 17:19:46,1833.73,1833.89,1834.55,1834.6,1833.87,1833.88
2023-08-01 17:19:57,1833.53,1833.59,1834.55,1834.6,1833.8,1833.81
2023-08-01 17:20:09,1833.44,1833.56,1834.55,1834.6,1833.7,1833.71
2023-08-01 17:20:20,1832.43,1832.56,1832.9,1832.95,1832.54,1832.56
2023-08-01 17:20:31,1832.74,1832.8,1833.75,1833.8,1832.58,1832.59
2023-08-01 17:20:43,1833.06,1833.16,1833.75,1833.8,1832.71,1832.72
2023-08-01 17:20:54,1833.16,1833.26,1833.5,1833.55,1832.86,1832.87
2023-08-01 17:21:05,1833.34,1833.4,1833.75,1833.8,1833.44,1833.45
2023-08-01 17:21:15,1833.01,1833.16,1833.35,1833.4,1833.08,1833.09
2023-08-01 17:21:28,1832.71,1832.84,1833.05,1833.1,1832.56,1832.57
2023-08-01 17:21:39,1832.65,1832.66,1833.0,1833.05,1832.54,1832.55
2023-08-01 17:21:51,1833.13,1833.2,1833.55,1833.6,1832.99,1833.0
2023-08-01 17:22:02,1833.16,1833.23,1833.3,1833.35,1832.99,1833.0
2023-08-01 17:22:13,1832.89,1832.93,1833.1,1833.15,1832.99,1833.0
2023-08-01 17:22:23,1832.52,1832.63,1832.85,1832.9,1832.5,1832.51
2023-08-01 17:22:34,1832.41,1832.52,1832.85,1832.9,1832.49,1832.5
2023-08-01 17:22:44,1832.01,1832.15,1832.6,1832.65,1832.0,1832.01
2023-08-01 17:22:55,1831.92,1832.05,1832.35,1832.4,1831.8,1831.81
2023-08-01 17:23:06,1832.02,1832.16,1832.3,1832.35,1832.09,1832.1
2023-08-01 17:23:17,1831.61,1831.71,1832.2,1832.25,1831.41,1831.42
2023-08-01 17:23:28,1831.53,1831.68,1832.3,1832.35,1831.45,1831.46
2023-08-01 17:23:39,1831.94,1832.06,1833.1,1833.15,1831.92,1831.93
2023-08-01 17:23:49,1832.06,1832.16,1832.85,1832.9,1832.03,1832.04
2023-08-01 17:24:00,1831.9,1831.95,1832.85,1832.9,1831.77,1831.78
2023-08-01 17:24:11,1831.76,1831.87,1832.85,1832.9,1831.65,1831.66
2023-08-01 17:24:22,1832.36,1832.49,1832.85,1832.9,1832.13,1832.14
2023-08-01 17:24:33,1832.46,1832.54,1833.0,1833.05,1832.44,1832.45
2023-08-01 17:24:45,1832.2,1832.23,1832.85,1832.9,1832.24,1832.25
2023-08-01 17:24:55,1832.42,1832.49,1833.0,1833.05,1832.14,1832.15
2023-08-01 17:25:06,1832.57,1832.61,1833.0,1833.05,1832.44,1832.45
2023-08-01 17:25:17,1833.01,1833.12,1833.45,1833.5,1832.96,1832.97
2023-08-01 17:25:27,1832.41,1832.53,1833.45,1833.5,1832.64,1832.65
2023-08-01 17:25:38,1832.09,1832.2,1832.7,1832.75,1832.0,1832.01
2023-08-01 17:25:48,1831.6,1831.73,1832.6,1832.65,1831.72,1831.74
