Date,value
1666137600000,6.81470000
1666152000000,7.52180000
1666166400000,7.85420000
1666180800000,7.82650000
1666195200000,7.04090000
1666209600000,7.32070000
1666224000000,7.51680000
1666238400000,7.50670000
1666252800000,7.48920000
1666267200000,7.27240000
1666281600000,7.26590000
1666296000000,7.36850000
1666310400000,7.57930000
1666324800000,7.42720000
1666339200000,7.07210000
1666353600000,7.48930000
1666368000000,7.48740000
1666382400000,7.49800000
1666396800000,7.47880000
1666411200000,7.48620000
1666425600000,8.23490000
1666440000000,8.72510000
1666454400000,8.77480000
1666468800000,8.95530000
1666483200000,9.44000000
1666497600000,10.08510000
1666512000000,9.65470000
1666526400000,9.59200000
1666540800000,9.66620000
1666555200000,9.78150000
1666569600000,9.46360000
1666584000000,9.58920000
1666598400000,9.50000000
1666612800000,9.69480000
1666627200000,9.64620000
1666641600000,9.52930000
1666656000000,9.26960000
1666670400000,9.17460000
1666684800000,9.21770000
1666699200000,9.42470000
1666713600000,8.79920000
1666728000000,8.78630000
1666742400000,8.84890000
1666756800000,9.16700000
1666771200000,8.90290000
1666785600000,8.97540000
1666800000000,8.84190000
1666814400000,9.19510000
1666828800000,9.14740000
1666843200000,9.38470000
1666857600000,9.23710000
1666872000000,9.18630000
1666886400000,9.18530000
1666900800000,8.70130000
1666915200000,8.19160000
1666929600000,8.00510000
1666944000000,8.04920000
1666958400000,8.20000000
1666972800000,8.32580000
1666987200000,8.18450000
1667001600000,8.30190000
1667016000000,8.26680000
1667030400000,8.14980000
1667044800000,7.94250000
1667059200000,7.81970000
1667073600000,7.95320000
1667088000000,8.12130000
1667102400000,7.89320000
1667116800000,7.85870000
1667131200000,7.80620000
1667145600000,7.81450000
1667160000000,7.80490000
1667174400000,7.91870000
1667188800000,7.92450000
1667203200000,7.98690000
1667217600000,7.83740000
1667232000000,7.78960000
1667246400000,7.94390000
1667260800000,7.97020000
1667275200000,8.12010000
1667289600000,8.01490000
1667304000000,7.93910000
1667318400000,8.13710000
1667332800000,8.19250000
1667347200000,8.01570000
1667361600000,7.66880000
1667376000000,7.29020000
1667390400000,7.23210000
1667404800000,7.31000000
1667419200000,7.37070000
1667433600000,7.47250000
1667448000000,7.39460000
1667462400000,7.27470000
1667476800000,7.35780000
1667491200000,7.39000000
1667505600000,7.23280000
1667520000000,7.31500000
1667534400000,7.39770000
1667548800000,7.28990000
1667563200000,7.32000000
1667577600000,7.47640000
1667592000000,7.65320000
1667606400000,7.72560000
1667620800000,7.75610000
1667635200000,7.69790000
1667649600000,7.73660000
1667664000000,7.79840000
1667678400000,7.62490000
1667692800000,7.67540000
1667707200000,8.08260000
1667721600000,7.94440000
1667736000000,7.80060000
1667750400000,7.65790000
1667764800000,7.30950000
1667779200000,7.32830000
1667793600000,6.89310000
1667808000000,7.11570000
1667822400000,7.08920000
1667836800000,7.18850000
1667851200000,7.00060000
1667865600000,6.22840000
1667880000000,6.39060000
1667894400000,6.18730000
1667908800000,6.20640000
1667923200000,5.21530000
1667937600000,5.37620000
1667952000000,5.01420000
1667966400000,4.61790000
1667980800000,4.59960000
1667995200000,4.26000000
1668009600000,4.01470000
1668024000000,3.96260000
1668038400000,4.19350000
1668052800000,4.30230000
1668067200000,4.13550000
1668081600000,5.24440000
1668096000000,5.08930000
1668110400000,5.15340000
1668124800000,4.79580000
1668139200000,5.14680000
1668153600000,5.13700000
1668168000000,4.70720000
1668182400000,4.73910000
1668196800000,5.18410000
1668211200000,4.90000000
1668225600000,4.67780000
1668240000000,4.66420000
1668254400000,4.66190000
1668268800000,4.59490000
1668283200000,4.54730000
1668297600000,4.51190000
1668312000000,4.29550000
1668326400000,4.28360000
1668340800000,4.28560000
1668355200000,4.34060000
1668369600000,4.21960000
1668384000000,3.86620000
1668398400000,4.45670000
1668412800000,4.26230000
1668427200000,4.15640000
1668441600000,4.02540000
1668456000000,4.19250000
1668470400000,4.20880000
1668484800000,4.61150000
1668499200000,4.47180000
1668513600000,4.32220000
1668528000000,4.27630000
1668542400000,4.33460000
1668556800000,4.42020000
1668571200000,4.37890000
1668585600000,4.24310000
1668600000000,4.27310000
1668614400000,4.68820000
1668628800000,4.50050000
1668643200000,4.44080000
1668657600000,4.56510000
1668672000000,4.70650000
1668686400000,4.56070000
1668700800000,4.69330000
1668715200000,4.66040000
1668729600000,4.84180000
1668744000000,4.74470000
1668758400000,4.75690000
1668772800000,4.76930000
1668787200000,4.64750000
1668801600000,4.71770000
1668816000000,4.70290000
1668830400000,4.54580000
1668844800000,4.57570000
1668859200000,4.58130000
1668873600000,4.56950000
1668888000000,4.62260000
1668902400000,4.59750000
1668916800000,4.57430000
1668931200000,4.35410000
1668945600000,4.39300000
1668960000000,4.39860000
1668974400000,4.10240000
1668988800000,4.01020000
1669003200000,3.99300000
1669017600000,4.00730000
1669032000000,4.09370000
1669046400000,3.98400000
1669060800000,4.06370000
1669075200000,4.02250000
1669089600000,3.94920000
1669104000000,3.94200000
1669118400000,4.39540000
1669132800000,4.26650000
1669147200000,4.31630000
1669161600000,4.43510000
1669176000000,4.47770000
1669190400000,4.46270000
1669204800000,4.36860000
1669219200000,4.34040000
1669233600000,4.44300000
1669248000000,4.45630000
1669262400000,4.41430000
1669276800000,4.27870000
1669291200000,4.44380000
1669305600000,4.46210000
1669320000000,4.43820000
1669334400000,4.31630000
1669348800000,4.36060000
1669363200000,4.36990000
1669377600000,4.48340000
1669392000000,4.45000000
1669406400000,4.42590000
1669420800000,4.75550000
1669435200000,4.78800000
1669449600000,4.90940000
1669464000000,4.82600000
1669478400000,4.80300000
1669492800000,4.76860000
1669507200000,4.97380000
1669521600000,4.71200000
1669536000000,4.71110000
1669550400000,4.73930000
1669564800000,4.71430000
1669579200000,4.79440000
1669593600000,4.47320000
1669608000000,4.47660000
1669622400000,4.45510000
1669636800000,4.42590000
1669651200000,4.47590000
1669665600000,4.47890000
1669680000000,4.56240000
1669694400000,4.69410000
1669708800000,4.70390000
1669723200000,4.69000000
1669737600000,4.71750000
1669752000000,4.67220000
1669766400000,4.77030000
1669780800000,4.75910000
1669795200000,4.70160000
1669809600000,4.69080000
1669824000000,4.71870000
1669838400000,4.77180000
1669852800000,4.72860000
1669867200000,4.67920000
1669881600000,4.73450000
1669896000000,4.65060000
1669910400000,4.63440000
1669924800000,4.65460000
1669939200000,4.58360000
1669953600000,4.61450000
1669968000000,4.64360000
1669982400000,4.69420000
1669996800000,4.92180000
1670011200000,4.89850000
1670025600000,5.02040000
1670040000000,4.98820000
1670054400000,5.00930000
1670068800000,5.23660000
1670083200000,5.15350000
1670097600000,5.11370000
1670112000000,5.18500000
1670126400000,5.27330000
1670140800000,5.19020000
1670155200000,5.13890000
1670169600000,5.16640000
1670184000000,5.18290000
1670198400000,5.36410000
1670212800000,5.33260000
1670227200000,5.32990000
1670241600000,5.20970000
1670256000000,5.05650000
1670270400000,5.16130000
1670284800000,5.23560000
1670299200000,5.17760000
1670313600000,5.20040000
1670328000000,5.12510000
1670342400000,4.95200000
1670356800000,5.04910000
1670371200000,4.96120000
1670385600000,4.73440000
1670400000000,4.81990000
1670414400000,4.79120000
1670428800000,4.76020000
1670443200000,4.81800000
1670457600000,4.81510000
1670472000000,4.79940000
1670486400000,4.79760000
1670500800000,4.83500000
1670515200000,4.93710000
1670529600000,4.91770000
1670544000000,4.88150000
1670558400000,4.92900000
1670572800000,4.90420000
1670587200000,4.82200000
1670601600000,4.80590000
1670616000000,4.80720000
1670630400000,4.80000000
1670644800000,4.81920000
1670659200000,4.80220000
1670673600000,4.82590000
1670688000000,4.80200000
1670702400000,4.78400000
1670716800000,4.79710000
1670731200000,4.87840000
1670745600000,4.84660000
1670760000000,4.81390000
1670774400000,4.81210000
1670788800000,4.66370000
1670803200000,4.46620000
1670817600000,4.43240000
1670832000000,4.47790000
1670846400000,4.40120000
1670860800000,4.44630000
1670875200000,4.52820000
1670889600000,4.43990000
1670904000000,4.36850000
1670918400000,4.45410000
1670932800000,4.55190000
1670947200000,4.62910000
1670961600000,4.62220000
1670976000000,4.66570000
1670990400000,4.68410000
1671004800000,4.64570000
1671019200000,4.66900000
1671033600000,4.56450000
1671048000000,4.69750000
1671062400000,4.67940000
1671076800000,4.64270000
1671091200000,4.76780000
1671105600000,4.72320000
1671120000000,4.66360000
1671134400000,4.66760000
1671148800000,4.71310000
1671163200000,4.69940000
1671177600000,4.47160000
1671192000000,4.36840000
1671206400000,4.40940000
1671220800000,4.04790000
1671235200000,4.07300000
1671249600000,4.10320000
1671264000000,4.07940000
1671278400000,4.02970000
1671292800000,3.98100000
1671307200000,4.09060000
1671321600000,4.07400000
1671336000000,4.02730000
1671350400000,4.02480000
1671364800000,4.01760000
1671379200000,4.08250000
1671393600000,4.05370000
1671408000000,3.97090000
1671422400000,4.04240000
1671436800000,4.08760000
1671451200000,4.04870000
1671465600000,3.85150000
1671480000000,3.80750000
1671494400000,3.88350000
1671508800000,3.90530000
1671523200000,3.88550000
1671537600000,3.89280000
1671552000000,3.86820000
1671566400000,3.89600000
1671580800000,3.82000000
1671595200000,3.77940000
1671609600000,3.79720000
1671624000000,3.79310000
1671638400000,3.69320000
1671652800000,3.76830000
1671667200000,3.77250000
1671681600000,3.71890000
1671696000000,3.73300000
1671710400000,3.64510000
1671724800000,3.61020000
1671739200000,3.71020000
1671753600000,3.74900000
1671768000000,3.75350000
1671782400000,3.73990000
1671796800000,3.76430000
1671811200000,3.77130000
1671825600000,3.75070000
1671840000000,3.73630000
1671854400000,3.75740000
1671868800000,3.73580000
1671883200000,3.73170000
1671897600000,3.71960000
1671912000000,3.69500000
1671926400000,3.70490000
1671940800000,3.69290000
1671955200000,3.65120000
1671969600000,3.57290000
1671984000000,3.57450000
1671998400000,3.57790000
1672012800000,3.62210000
1672027200000,3.58420000
1672041600000,3.60070000
1672056000000,3.57860000
1672070400000,3.60250000
1672084800000,3.64490000
1672099200000,3.61070000
1672113600000,3.61550000
1672128000000,3.61680000
1672142400000,3.57360000
1672156800000,3.56590000
1672171200000,3.59720000
1672185600000,3.46920000
1672200000000,3.28770000
1672214400000,3.25830000
1672228800000,3.24580000
1672243200000,3.24380000
1672257600000,3.23570000
1672272000000,3.21300000
1672286400000,3.19130000
1672300800000,3.19230000
1672315200000,3.18800000
1672329600000,3.23550000
1672344000000,3.20930000
1672358400000,3.21000000
1672372800000,3.15630000
1672387200000,3.16700000
1672401600000,3.26650000
1672416000000,3.29480000
1672430400000,3.41860000
1672444800000,3.35900000
1672459200000,3.37390000
1672473600000,3.36170000
1672488000000,3.45390000
1672502400000,3.45390000
1672516800000,3.44730000
1672531200000,3.48480000
1672545600000,3.46070000
1672560000000,3.46280000
1672574400000,3.46050000
1672588800000,3.49200000
1672603200000,3.52140000
1672617600000,3.50250000
1672632000000,3.70280000
1672646400000,3.73650000
1672660800000,3.77350000
1672675200000,3.78010000
1672689600000,3.75980000
1672704000000,3.68310000
1672718400000,3.75900000
1672732800000,3.75250000
1672747200000,3.84090000
1672761600000,3.77710000
1672776000000,3.82190000
1672790400000,3.95700000
1672804800000,3.98590000
1672819200000,3.96100000
1672833600000,3.94860000
1672848000000,3.82730000
1672862400000,3.81280000
1672876800000,3.78440000
1672891200000,3.75830000
1672905600000,3.74670000
1672920000000,3.71690000
1672934400000,3.73100000
1672948800000,3.70970000
1672963200000,3.73530000
1672977600000,3.67090000
1672992000000,3.61370000
1673006400000,3.70460000
1673020800000,3.88110000
1673035200000,3.85800000
1673049600000,3.85490000
1673064000000,3.84110000
1673078400000,3.81730000
1673092800000,3.83720000
1673107200000,3.81830000
1673121600000,3.83290000
1673136000000,3.79530000
1673150400000,3.78190000
1673164800000,3.78590000
1673179200000,3.81850000
1673193600000,3.75420000
1673208000000,3.93200000
1673222400000,4.04880000
1673236800000,4.04600000
1673251200000,4.18340000
1673265600000,4.60530000
1673280000000,5.07930000
1673294400000,5.21210000
1673308800000,5.09450000
1673323200000,5.38250000
1673337600000,5.50200000
1673352000000,5.74400000
1673366400000,5.65560000
1673380800000,5.48720000
1673395200000,5.24510000
1673409600000,5.26790000
1673424000000,5.22340000
1673438400000,5.10070000
1673452800000,5.15760000
1673467200000,5.29500000
1673481600000,5.32910000
1673496000000,5.19590000
1673510400000,5.30800000
1673524800000,5.13980000
1673539200000,6.18930000
1673553600000,6.45910000
1673568000000,6.33940000
1673582400000,6.37120000
1673596800000,6.70650000
1673611200000,6.82020000
1673625600000,6.80020000
1673640000000,6.81150000
1673654400000,7.87310000
1673668800000,8.03060000
1673683200000,7.68000000
1673697600000,7.46090000
1673712000000,7.54510000
1673726400000,7.70580000
1673740800000,7.34510000
1673755200000,7.30500000
1673769600000,8.00040000
1673784000000,8.61490000
1673798400000,8.10560000
1673812800000,7.92550000
1673827200000,8.00150000
1673841600000,8.17570000
1673856000000,8.34500000
1673870400000,8.15730000
1673884800000,8.18950000
1673899200000,8.13180000
1673913600000,7.94540000
1673928000000,8.02180000
1673942400000,8.11910000
1673956800000,8.01510000
1673971200000,7.95110000
1673985600000,7.61050000
1674000000000,7.73730000
1674014400000,7.66050000
1674028800000,7.58670000
1674043200000,7.27580000
1674057600000,8.00690000
1674072000000,7.61960000
1674086400000,7.62420000
1674100800000,8.01730000
1674115200000,7.80420000
1674129600000,7.69930000
1674144000000,7.78380000
1674158400000,7.87410000
1674172800000,8.02950000
1674187200000,7.94110000
1674201600000,8.11010000
1674216000000,8.32290000
1674230400000,9.47810000
1674244800000,10.94710000
1674259200000,11.26340000
1674273600000,12.52880000
1674288000000,12.20400000
1674302400000,12.65420000
1674316800000,12.91350000
1674331200000,11.75650000
1674345600000,12.45040000
1674360000000,14.06010000
1674374400000,13.57890000
1674388800000,13.62820000
1674403200000,14.27910000
1674417600000,13.30330000
1674432000000,13.85020000
1674446400000,13.55600000
1674460800000,13.49300000
1674475200000,13.06560000
1674489600000,13.03140000
1674504000000,12.67440000
1674518400000,13.35420000
1674532800000,13.09570000
1674547200000,12.85170000
1674561600000,13.14940000
1674576000000,12.84710000
1674590400000,12.34040000
1674604800000,12.81510000
