,t,o
135,2022-07-30,"{'1m': 63.6539192133217, '1w': 77.0713720376043, '1y': 68.4160430649117, '2w': 72.5452620690132, '3m': 78.0326468878775, '6m': 71.9905279083352}"
136,2022-07-31,"{'1m': 63.1009653793173, '1w': 77.9828203333152, '1y': 68.2210649326499, '2w': 72.7886474553619, '3m': 77.6570011681607, '6m': 71.9599432760664}"
137,2022-08-01,"{'1m': 63.6308309027626, '1w': 75.8075267734844, '1y': 68.2452328842475, '2w': 72.7073874729611, '3m': 77.7119970969362, '6m': 71.8715965072709}"
138,2022-08-02,"{'1m': 63.2579102273843, '1w': 67.2206506289523, '1y': 68.1067837206338, '2w': 69.5021981337947, '3m': 77.6154833502242, '6m': 71.8350098213981}"
139,2022-08-03,"{'1m': 63.299931403664, '1w': 63.1643052735958, '1y': 68.0636494646746, '2w': 64.1874948837571, '3m': 77.6918295109112, '6m': 71.710031260763}"
140,2022-08-04,"{'1m': 63.5704351376026, '1w': 39.7403241789202, '1y': 68.0476080476036, '2w': 63.1488084928219, '3m': 77.5525050198364, '6m': 71.2454983906276}"
141,2022-08-05,"{'1m': 62.6025521465171, '1w': 33.4991251412642, '1y': 68.0053578277983, '2w': 62.7319094631667, '3m': 76.9503260607975, '6m': 70.3099021551283}"
142,2022-08-06,"{'1m': 62.3223557552678, '1w': 32.075913587491, '1y': 67.812981854046, '2w': 60.5855907403255, '3m': 75.8799142223316, '6m': 70.3234646813833}"
143,2022-08-07,"{'1m': 61.5919376134453, '1w': 30.669952240188, '1y': 67.5651138182797, '2w': 60.1150899115065, '3m': 75.8695556189252, '6m': 70.0777181168444}"
144,2022-08-08,"{'1m': 60.0985900897144, '1w': 34.9285288922017, '1y': 67.6078540994143, '2w': 59.1787589861788, '3m': 75.9263806910846, '6m': 70.1115830695073}"
145,2022-08-09,"{'1m': 60.8213030971694, '1w': 39.4063345933717, '1y': 67.5804210425923, '2w': 55.8661416750463, '3m': 75.178663758508, '6m': 70.1739874896727}"
146,2022-08-10,"{'1m': 61.1123620984037, '1w': 44.9173207599386, '1y': 67.5651766933899, '2w': 55.3937450486898, '3m': 74.7192710443028, '6m': 70.280662353989}"
147,2022-08-11,"{'1m': 61.5160796216547, '1w': 50.6855659418024, '1y': 67.7110716042024, '2w': 46.936436299535, '3m': 74.9397272802534, '6m': 70.5334123842812}"
148,2022-08-12,"{'1m': 60.4400922405414, '1w': 53.6473229578313, '1y': 67.6668912956242, '2w': 45.8156811165528, '3m': 73.1845146072142, '6m': 70.5243996862859}"
149,2022-08-13,"{'1m': 60.1674087777676, '1w': 54.7317518143453, '1y': 67.5778184042515, '2w': 46.5612162253304, '3m': 72.0008050279522, '6m': 70.6156333105935}"
150,2022-08-14,"{'1m': 59.5332682364256, '1w': 54.3405232480922, '1y': 67.4923035961992, '2w': 45.7169504285641, '3m': 71.7148163801365, '6m': 70.6147620159809}"
151,2022-08-15,"{'1m': 59.0652863438746, '1w': 52.6399865298146, '1y': 67.4877825139261, '2w': 44.6624085368794, '3m': 71.5122880665525, '6m': 70.392750692594}"
152,2022-08-16,"{'1m': 59.3222308014882, '1w': 49.6285788226683, '1y': 67.475546991345, '2w': 44.793111931447, '3m': 71.441077701422, '6m': 70.3904436891623}"
153,2022-08-17,"{'1m': 59.1050819744215, '1w': 45.2448729947766, '1y': 67.4580414397941, '2w': 45.0643624749305, '3m': 71.3577011580763, '6m': 70.2006609757397}"
154,2022-08-18,"{'1m': 58.4401579491318, '1w': 31.2937632905647, '1y': 67.4430876015125, '2w': 44.4409013609968, '3m': 71.2425292611612, '6m': 69.7965079337373}"
155,2022-08-19,"{'1m': 61.9057582502481, '1w': 56.2844508223328, '1y': 67.8096803582681, '2w': 57.852607574575, '3m': 72.3955156872386, '6m': 70.5338994000334}"
156,2022-08-20,"{'1m': 60.5672486638498, '1w': 54.0448405142743, '1y': 67.7000879856638, '2w': 61.0262064013505, '3m': 72.4827449789086, '6m': 70.621918475252}"
157,2022-08-21,"{'1m': 59.9011162662004, '1w': 56.4830623318089, '1y': 67.6378347316143, '2w': 61.5795669836554, '3m': 72.377195549896, '6m': 70.6065114758835}"
158,2022-08-22,"{'1m': 59.572377373537, '1w': 56.9560123010483, '1y': 67.6414659570398, '2w': 58.6301100241795, '3m': 72.2940003354041, '6m': 70.4233798672814}"
159,2022-08-23,"{'1m': 58.8287763001996, '1w': 59.2850028153055, '1y': 67.6162411358507, '2w': 57.7340985654611, '3m': 72.16984636466739, '6m': 70.3182849168201}"
160,2022-08-24,"{'1m': 58.5733380565467, '1w': 60.453316891437, '1y': 67.5943251065548, '2w': 55.5248232034802, '3m': 71.9615633620556, '6m': 69.6740531656169}"
161,2022-08-25,"{'1m': 57.7039380989364, '1w': 61.6146703071014, '1y': 67.5587488014601, '2w': 49.1864250414746, '3m': 71.8956294981091, '6m': 68.7355330112021}"
162,2022-08-26,"{'1m': 56.5328461039628, '1w': 41.3801880207686, '1y': 67.5614930686675, '2w': 49.9166481106211, '3m': 72.0404685639212, '6m': 68.78812424551}"
163,2022-08-27,"{'1m': 57.4529429163453, '1w': 44.5486266093426, '1y': 67.6937604335813, '2w': 51.2193534956735, '3m': 72.5768821476717, '6m': 69.0789563083262}"
164,2022-08-28,"{'1m': 50.6280850456788, '1w': 42.5682246584223, '1y': 67.6250310853171, '2w': 50.9125306446102, '3m': 72.5600362732935, '6m': 68.6328303767366}"
165,2022-08-29,"{'1m': 49.3255252239594, '1w': 42.9122640810437, '1y': 67.6319159860448, '2w': 51.3004822998989, '3m': 72.5561294278531, '6m': 68.4668417213463}"
166,2022-08-30,"{'1m': 49.7448661940397, '1w': 45.728699513013, '1y': 67.66887384804281, '2w': 53.4394922715582, '3m': 71.9109904150091, '6m': 68.377154563796}"
167,2022-08-31,"{'1m': 49.7399878837256, '1w': 46.0225910396435, '1y': 67.6537301726158, '2w': 53.9765258740823, '3m': 71.4172063902603, '6m': 68.214260443821}"
168,2022-09-01,"{'1m': 49.4358100567964, '1w': 44.4719420284008, '1y': 67.6422485175836, '2w': 53.7253389189479, '3m': 71.1523748993802, '6m': 66.2888867518979}"
169,2022-09-02,"{'1m': 49.4970453170554, '1w': 43.6164015296591, '1y': 67.5030044066851, '2w': 42.5266157503773, '3m': 70.669902904893, '6m': 66.2628177371284}"
170,2022-09-03,"{'1m': 49.2078556213352, '1w': 27.4115514622291, '1y': 67.4978767125014, '2w': 37.3178758856148, '3m': 70.580694765247, '6m': 66.2079503457712}"
171,2022-09-04,"{'1m': 48.7748874537146, '1w': 27.1801593967625, '1y': 67.4844085914833, '2w': 36.5186703952114, '3m': 70.5171602194475, '6m': 65.858972085354}"
172,2022-09-05,"{'1m': 48.4276141703342, '1w': 25.9990932315012, '1y': 67.4701677440235, '2w': 36.1867008823591, '3m': 70.5042024021787, '6m': 65.5119193041114}"
173,2022-09-06,"{'1m': 48.7440223183644, '1w': 24.1699231706535, '1y': 67.4300701625021, '2w': 36.8408920657728, '3m': 69.8530820702465, '6m': 65.5567699356149}"
174,2022-09-07,"{'1m': 50.9484293377963, '1w': 37.9905271129634, '1y': 67.2993938338765, '2w': 42.1947663015261, '3m': 69.8788772683038, '6m': 65.7865750547222}"
175,2022-09-08,"{'1m': 50.0693902130119, '1w': 42.5030106575764, '1y': 66.7495435324509, '2w': 43.8665765625066, '3m': 69.7692945367018, '6m': 65.826076305322}"
176,2022-09-09,"{'1m': 57.1153612061255, '1w': 71.1570178010335, '1y': 67.2270046029852, '2w': 60.0913978652839, '3m': 71.7025058478053, '6m': 65.9395124310401}"
177,2022-09-10,"{'1m': 58.1992211890959, '1w': 74.9582846090518, '1y': 67.3430134016637, '2w': 57.7140565451656, '3m': 72.1921384422136, '6m': 65.6820049570385}"
178,2022-09-11,"{'1m': 55.9251846207961, '1w': 74.3566909320546, '1y': 67.3308722498749, '2w': 57.5194556896266, '3m': 72.087717319832, '6m': 65.6012234047274}"
179,2022-09-12,"{'1m': 56.4451520918831, '1w': 74.2739039763713, '1y': 67.3793060883177, '2w': 57.9963640604852, '3m': 71.7799661562954, '6m': 65.7066900282873}"
180,2022-09-13,"{'1m': 58.8396523539131, '1w': 84.9617781870519, '1y': 67.5722067107923, '2w': 64.5327477963772, '3m': 67.4521394381125, '6m': 66.1617769733231}"
181,2022-09-14,"{'1m': 63.2289998005275, '1w': 95.0681787942496, '1y': 67.8459770837891, '2w': 74.6679670490487, '3m': 65.8901888670094, '6m': 66.844472492522}"
182,2022-09-15,"{'1m': 63.1663954449948, '1w': 95.6433860018084, '1y': 67.7639383468514, '2w': 74.6904891134337, '3m': 64.9435595289292, '6m': 66.811058183802}"
183,2022-09-16,"{'1m': 63.1293058770415, '1w': 77.1171132786374, '1y': 67.756374668502, '2w': 74.8560363906953, '3m': 64.4691744538982, '6m': 66.6253556304447}"
184,2022-09-17,"{'1m': 63.3633581384286, '1w': 69.6084476440926, '1y': 67.7741244190437, '2w': 74.9358570981756, '3m': 63.8520363069145, '6m': 66.5556356135556}"
185,2022-09-18,"{'1m': 63.3626872608788, '1w': 68.6610582578264, '1y': 67.7636761355238, '2w': 75.2589177796313, '3m': 61.9098383969404, '6m': 66.5522573795753}"
186,2022-09-19,"{'1m': 60.8790611172211, '1w': 67.8076884410123, '1y': 67.9357656598729, '2w': 79.5767319803734, '3m': 61.0244385865729, '6m': 66.7893102687539}"
187,2022-09-20,"{'1m': 60.0157588025306, '1w': 63.7046039281003, '1y': 67.6541738495101, '2w': 80.2027991441463, '3m': 60.0355412391685, '6m': 66.9081600166819}"
188,2022-09-21,"{'1m': 60.1416615000621, '1w': 47.1056173202977, '1y': 67.4487326919773, '2w': 77.0955644901613, '3m': 59.6971481261623, '6m': 66.938654213882}"
189,2022-09-22,"{'1m': 60.4344471039387, '1w': 49.2748454996073, '1y': 67.4126000074034, '2w': 77.0495787995655, '3m': 59.3726666108206, '6m': 66.7854709504017}"
190,2022-09-23,"{'1m': 60.8853928200721, '1w': 52.3650185489873, '1y': 67.3473661832278, '2w': 65.9460481609569, '3m': 59.4294144239977, '6m': 66.8606173440248}"
191,2022-09-24,"{'1m': 61.0042265321908, '1w': 51.7010731679307, '1y': 67.2592974679955, '2w': 61.3944076450126, '3m': 59.1964459704381, '6m': 66.7555251235596}"
192,2022-09-25,"{'1m': 60.8600197433621, '1w': 50.7971482344041, '1y': 67.1946538139784, '2w': 60.6074469674918, '3m': 59.1515116998428, '6m': 66.6400797234766}"
193,2022-09-26,"{'1m': 60.3861403763024, '1w': 37.1002089516246, '1y': 67.1841166738567, '2w': 58.4226354262952, '3m': 59.1540098626204, '6m': 66.6450459570298}"
194,2022-09-27,"{'1m': 60.2447323285133, '1w': 45.6714603701631, '1y': 67.29559168319619, '2w': 58.7856739387067, '3m': 59.838838137419, '6m': 66.9688575716765}"
195,2022-09-28,"{'1m': 62.7341551137617, '1w': 57.8831141812079, '1y': 67.3929023596832, '2w': 53.5693822668146, '3m': 60.6087391884382, '6m': 66.8453265801366}"
196,2022-09-29,"{'1m': 63.1910747580677, '1w': 58.3641040080297, '1y': 67.4303125397401, '2w': 54.9152899717935, '3m': 60.4959674660791, '6m': 66.9332393344778}"
197,2022-09-30,"{'1m': 62.800871929082604, '1w': 56.1999129195124, '1y': 67.336109511023, '2w': 54.8733398066696, '3m': 59.8891616119472, '6m': 66.9688734008877}"
198,2022-10-01,"{'1m': 63.7088242521718, '1w': 56.3804030193723, '1y': 66.936584446986, '2w': 54.6471951387619, '3m': 59.8307750733609, '6m': 66.9689062689182}"
199,2022-10-02,"{'1m': 63.5903334594637, '1w': 56.318050507604, '1y': 66.6989583260546, '2w': 54.2187751141497, '3m': 59.6520139862692, '6m': 66.8318979245177}"
200,2022-10-03,"{'1m': 63.5915443190909, '1w': 56.51577774346, '1y': 66.7064101093605, '2w': 47.8426116613505, '3m': 59.6873319761821, '6m': 66.8512531053279}"
201,2022-10-04,"{'1m': 64.5714557829797, '1w': 50.6741083049288, '1y': 66.7880685282947, '2w': 48.2995470728209, '3m': 59.8431031437481, '6m': 67.0450143296287}"
202,2022-10-05,"{'1m': 64.8616719800778, '1w': 33.6662787091028, '1y': 66.68262030409, '2w': 47.7590945732789, '3m': 59.4885276890241, '6m': 67.0796970228813}"
203,2022-10-06,"{'1m': 64.4233029591993, '1w': 30.5497893604655, '1y': 66.3980343892229, '2w': 46.6354197111679, '3m': 59.3608010458898, '6m': 66.9181714198289}"
204,2022-10-07,"{'1m': 62.5832452952745, '1w': 34.0818373976964, '1y': 66.2405952733969, '2w': 46.500592954307, '3m': 59.1330153998203, '6m': 66.8391505425512}"
205,2022-10-08,"{'1m': 62.4938011824369, '1w': 35.0236617957653, '1y': 66.2409583677396, '2w': 46.9351089569495, '3m': 58.2855596706349, '6m': 66.846616583802}"
206,2022-10-09,"{'1m': 55.9633323208836, '1w': 34.8422466507062, '1y': 66.2306455324519, '2w': 46.8240310735017, '3m': 58.2433035311197, '6m': 66.7946891198607}"
207,2022-10-10,"{'1m': 53.6194814231467, '1w': 34.4642684457103, '1y': 66.222935872198, '2w': 46.8357985754749, '3m': 58.0568369382227, '6m': 66.7780604168813}"
208,2022-10-11,"{'1m': 53.4930195110059, '1w': 24.7923796936813, '1y': 66.1528096017481, '2w': 40.5318821466345, '3m': 57.7723593874828, '6m': 66.5553091039889}"
209,2022-10-12,"{'1m': 52.5283708826624, '1w': 19.7463748294929, '1y': 66.1202237998721, '2w': 30.9615191896984, '3m': 57.3378245512029, '6m': 66.3684180055085}"
210,2022-10-13,"{'1m': 49.2527088298957, '1w': 21.0648321803135, '1y': 66.0787151375979, '2w': 29.3181525045112, '3m': 57.2765291231674, '6m': 66.3141329442164}"
211,2022-10-14,"{'1m': 44.5752252504396, '1w': 32.9885552538275, '1y': 66.084851505443, '2w': 33.707285630496, '3m': 57.3228106036429, '6m': 66.3922540033913}"
212,2022-10-15,"{'1m': 44.9420358577358, '1w': 34.2653963590398, '1y': 65.9405119510163, '2w': 34.8362903147222, '3m': 57.0699586839004, '6m': 66.3825213044068}"
213,2022-10-16,"{'1m': 44.6726926020711, '1w': 34.4295506361688, '1y': 65.8310615567911, '2w': 34.8099728145497, '3m': 57.0178392173963, '6m': 66.3736665430793}"
214,2022-10-17,"{'1m': 44.6315635205584, '1w': 35.3915038063419, '1y': 65.8441645718149, '2w': 34.9263135874067, '3m': 56.8386721686489, '6m': 66.4144650296336}"
215,2022-10-18,"{'1m': 44.5884333789578, '1w': 34.5444974114781, '1y': 65.826963207596, '2w': 31.3537026813566, '3m': 56.4610530155948, '6m': 66.363659297859}"
216,2022-10-19,"{'1m': 41.0486743221222, '1w': 36.4058382254205, '1y': 65.7943029012492, '2w': 30.2936034710158, '3m': 55.6963742488958, '6m': 66.1319961867997}"
217,2022-10-20,"{'1m': 39.9396838698199, '1w': 34.9977269712474, '1y': 65.6718096473503, '2w': 30.1110633254382, '3m': 54.5694042396197, '6m': 66.0884089082954}"
218,2022-10-21,"{'1m': 39.4128534258828, '1w': 24.2072495982351, '1y': 65.583181932525, '2w': 28.9635274085098, '3m': 54.2530214560261, '6m': 66.058426179622}"
219,2022-10-22,"{'1m': 38.8314240827606, '1w': 19.9721857879474, '1y': 65.5126606928997, '2w': 28.1771403171665, '3m': 54.1136243312557, '6m': 65.8735548247574}"
220,2022-10-23,"{'1m': 37.922546144694, '1w': 20.549557615343, '1y': 65.477371593358, '2w': 28.476801837664, '3m': 53.7980237197871, '6m': 65.8532294148639}"
221,2022-10-24,"{'1m': 37.7463144659767, '1w': 19.4516886591825, '1y': 65.4800388389845, '2w': 28.5593316614193, '3m': 53.718458637936, '6m': 65.8705553967039}"
222,2022-10-25,"{'1m': 38.4932432304818, '1w': 23.935047196689702, '1y': 65.4242557735334, '2w': 29.7855595266895, '3m': 53.5773157267793, '6m': 65.9235713870049}"
223,2022-10-26,"{'1m': 41.7249962700431, '1w': 37.294642236841, '1y': 65.6081071933399, '2w': 37.7654394819934, '3m': 53.8000766626158, '6m': 66.075904414077}"
224,2022-10-27,"{'1m': 39.0605797618108, '1w': 38.1496318439929, '1y': 65.4804261961926, '2w': 37.8460716143906, '3m': 53.305017169844604, '6m': 65.9329975429833}"
225,2022-10-28,"{'1m': 35.0396217537273, '1w': 41.170588549432, '1y': 65.4077949847596, '2w': 35.9336485390132, '3m': 51.1875487105103, '6m': 65.8821442405735}"
226,2022-10-29,"{'1m': 34.7025324652828, '1w': 41.7745393687057, '1y': 65.3804085225134, '2w': 34.4317180596556, '3m': 50.9647185993052, '6m': 65.9077094646191}"
227,2022-10-30,"{'1m': 34.5472822252108, '1w': 42.6320152125029, '1y': 65.3719917577234, '2w': 34.704950730296, '3m': 50.8726378473953, '6m': 65.8837687563118}"
228,2022-10-31,"{'1m': 34.300757392985, '1w': 44.5828075336468, '1y': 65.3727932897972, '2w': 35.3419597841772, '3m': 50.8156327301949, '6m': 65.7171942718291}"
229,2022-11-01,"{'1m': 33.9616380171457, '1w': 42.5568833857292, '1y': 65.3538373437016, '2w': 34.9216668121396, '3m': 50.634967448139, '6m': 65.6981268862036}"
230,2022-11-02,"{'1m': 33.9988646140643, '1w': 27.296690377315, '1y': 65.2955427334457, '2w': 34.0960762185263, '3m': 50.5730258927321, '6m': 65.6379899439976}"
231,2022-11-03,"{'1m': 33.9627813357646, '1w': 24.0710178799428, '1y': 65.2619614055989, '2w': 34.3338510103025, '3m': 50.4965052127044, '6m': 65.6312903400498}"
232,2022-11-04,"{'1m': 33.4149642920685, '1w': 27.7056684187411, '1y': 65.3065778271945, '2w': 35.7968143250088, '3m': 50.6058933725071, '6m': 65.6321634221001}"
233,2022-11-05,"{'1m': 34.7026588814249, '1w': 33.3673913403604, '1y': 65.4046846669119, '2w': 38.5109192864756, '3m': 50.9880557266683, '6m': 65.4259511351944}"
234,2022-11-06,"{'1m': 34.7364910109205, '1w': 33.421299970622, '1y': 65.3975509870694, '2w': 38.8881389863507, '3m': 50.9583559717797, '6m': 64.7369965336647}"
235,2022-11-07,"{'1m': 34.7739926281759, '1w': 36.1196560841251, '1y': 65.3848384412586, '2w': 41.0252430963119, '3m': 51.0976724975953, '6m': 64.7745443748794}"
236,2022-11-08,"{'1m': 41.8714676105341, '1w': 60.5484469797078, '1y': 65.445855856676, '2w': 53.8370877122535, '3m': 52.4375207444304, '6m': 65.2730289683907}"
237,2022-11-09,"{'1m': 56.8117409919706, '1w': 93.746206388625, '1y': 66.2860855943255, '2w': 71.8862010281236, '3m': 56.6335709793294, '6m': 66.5560501767702}"
238,2022-11-10,"{'1m': 63.7239194154171, '1w': 109.226223698674, '1y': 66.7896723681581, '2w': 82.0785651475511, '3m': 58.7209301349662, '6m': 67.1973823059816}"
239,2022-11-11,"{'1m': 65.8888080219897, '1w': 111.951134217709, '1y': 66.9067097096642, '2w': 86.1764944000234, '3m': 58.7372162317641, '6m': 67.3404952456872}"
240,2022-11-12,"{'1m': 66.2118349232826, '1w': 103.584004043377, '1y': 66.9221640265348, '2w': 84.8658384494807, '3m': 58.7658269853986, '6m': 66.3946275060435}"
241,2022-11-13,"{'1m': 66.1543237625593, '1w': 102.972117513224, '1y': 66.9204803115727, '2w': 84.718627467404, '3m': 58.5630743547812, '6m': 65.6537566479863}"
242,2022-11-14,"{'1m': 65.3708455478716, '1w': 105.182043115786, '1y': 66.9534190825481, '2w': 85.5255394131278, '3m': 58.7575701267409, '6m': 65.5958526762221}"
243,2022-11-15,"{'1m': 65.9313705610712, '1w': 106.274179374244, '1y': 66.996763588061, '2w': 87.5741394735296, '3m': 59.0052298077401, '6m': 65.5765149849313}"
244,2022-11-16,"{'1m': 66.0684159053506, '1w': 79.2524341957647, '1y': 66.6864430234988, '2w': 87.726968544826, '3m': 59.011695402732, '6m': 65.5374876162902}"
245,2022-11-17,"{'1m': 65.88872560649, '1w': 51.1684922498889, '1y': 66.6687234661414, '2w': 87.8945984515076, '3m': 58.994948476778, '6m': 65.4786105329123}"
246,2022-11-18,"{'1m': 65.8778133846929, '1w': 37.0914631761267, '1y': 66.6359555412124, '2w': 86.4814640572864, '3m': 58.9836260690861, '6m': 65.4094543735441}"
247,2022-11-19,"{'1m': 65.8192050000581, '1w': 34.1448151966403, '1y': 66.5143698381363, '2w': 82.9782727821671, '3m': 57.2504158173614, '6m': 65.2532691285569}"
248,2022-11-20,"{'1m': 65.8661574148412, '1w': 33.15961853808, '1y': 66.4421325766283, '2w': 83.1497090103354, '3m': 56.6392768659011, '6m': 65.0527833255105}"
249,2022-11-21,"{'1m': 66.5771621187662, '1w': 36.0229771991183, '1y': 66.4960347175056, '2w': 83.5571354139345, '3m': 56.9128680488081, '6m': 65.1060713535762}"
250,2022-11-22,"{'1m': 66.7420567995973, '1w': 30.9180247647789, '1y': 66.4517615568326, '2w': 79.389714408898, '3m': 56.985910471698, '6m': 65.0934087309301}"
251,2022-11-23,"{'1m': 68.0345691928509, '1w': 40.8827846719628, '1y': 66.5361020604506, '2w': 63.2435941326779, '3m': 57.4174962311021, '6m': 65.2172390882585}"
252,2022-11-24,"{'1m': 68.0858987288018, '1w': 40.9050242439094, '1y': 66.5424264692681, '2w': 46.393475440445, '3m': 57.4478182332837, '6m': 65.1127184418615}"
253,2022-11-25,"{'1m': 67.5119762985297, '1w': 40.3622305427877, '1y': 66.4678000941101, '2w': 38.7744756420974, '3m': 57.4078987280866, '6m': 65.058246987783}"
254,2022-11-26,"{'1m': 64.9384686048892, '1w': 40.335105349562, '1y': 66.211940699302, '2w': 37.379919432211, '3m': 57.2060534644426, '6m': 65.0492558237991}"
255,2022-11-27,"{'1m': 64.5407443311896, '1w': 39.9324084558131, '1y': 66.0948855007057, '2w': 36.6865057945285, '3m': 56.3272110454108, '6m': 64.9846601935676}"
256,2022-11-28,"{'1m': 64.4982191487337, '1w': 34.5498631318527, '1y': 66.1027727333942, '2w': 35.6167814459584, '3m': 56.4289528557292, '6m': 65.0169812471355}"
257,2022-11-29,"{'1m': 64.214084380488, '1w': 32.4547364621813, '1y': 65.871782621177, '2w': 33.628103055335, '3m': 56.4746738791145, '6m': 65.0401793485559}"
258,2022-11-30,"{'1m': 65.3977056900707, '1w': 29.8517276459766, '1y': 65.9429111506461, '2w': 36.1924112577624, '3m': 56.6132572838983, '6m': 64.7637805131894}"
259,2022-12-01,"{'1m': 66.7041304098091, '1w': 30.4106371134377, '1y': 65.9528269010491, '2w': 36.2324519056322, '3m': 56.903615870407, '6m': 64.5284008898616}"
260,2022-12-02,"{'1m': 66.7001125670781, '1w': 30.3337576398784, '1y': 65.9391910919215, '2w': 36.1755691114231, '3m': 56.8657101965748, '6m': 64.2224727951286}"
261,2022-12-03,"{'1m': 66.7230359925585, '1w': 30.3553555603512, '1y': 65.8906231927216, '2w': 35.9253326831574, '3m': 56.8196510366612, '6m': 64.1625977328059}"
262,2022-12-04,"{'1m': 65.910757273892, '1w': 30.2266720055475, '1y': 64.4415750729927, '2w': 35.6745774544522, '3m': 56.822910471404, '6m': 64.1274697100115}"
263,2022-12-05,"{'1m': 64.7336500638194, '1w': 24.6819589991952, '1y': 64.3042980437492, '2w': 30.6850125975471, '3m': 56.8946313587965, '6m': 64.1581821235276}"
264,2022-12-06,"{'1m': 64.7779857123971, '1w': 27.1009942046141, '1y': 64.288756777155, '2w': 29.9073864090361, '3m': 56.7755715403031, '6m': 63.7711695175337}"
265,2022-12-07,"{'1m': 64.6125182768822, '1w': 20.0015496455096, '1y': 64.0891364449438, '2w': 25.6096333296914, '3m': 56.0105636681063, '6m': 63.4651732583685}"
266,2022-12-08,"{'1m': 60.8681780952352, '1w': 19.3174469374315, '1y': 64.0815696750828, '2w': 25.8968667839304, '3m': 55.8937714342123, '6m': 63.3428770438482}"
267,2022-12-09,"{'1m': 47.6888815262252, '1w': 22.6354206953412, '1y': 64.0424252796725, '2w': 26.8397064630116, '3m': 53.6614715136582, '6m': 63.3958252573431}"
268,2022-12-10,"{'1m': 36.9835886635595, '1w': 22.6492743140483, '1y': 64.0012691460721, '2w': 26.8468630897763, '3m': 52.8601480178544, '6m': 63.3301070493305}"
269,2022-12-11,"{'1m': 32.6484847112884, '1w': 22.402675830404, '1y': 63.9826310236661, '2w': 26.7426092428744, '3m': 52.7833130631738, '6m': 63.2320336518592}"
