,t,o
270,2022-12-12,"{'1m': 31.8646706318152, '1w': 21.3476333670396, '1y': 63.9301919686965, '2w': 24.8544951281548, '3m': 52.5033171051882, '6m': 62.9373477708541}"
271,2022-12-13,"{'1m': 32.9857917493215, '1w': 28.1941647599229, '1y': 63.898099011151, '2w': 27.6776714644094, '3m': 51.7337228721934, '6m': 60.1477906635715}"
272,2022-12-14,"{'1m': 32.6829462971244, '1w': 30.5536658168592, '1y': 63.8867433270564, '2w': 26.9648927821244, '3m': 50.0444540608841, '6m': 58.550093152741}"
273,2022-12-15,"{'1m': 32.4610931807782, '1w': 34.7141073260246, '1y': 63.8568986280343, '2w': 28.7598713061633, '3m': 50.1359550324758, '6m': 58.0571319448502}"
274,2022-12-16,"{'1m': 33.6718849938465, '1w': 39.7065022922159, '1y': 63.8762607409172, '2w': 32.4142315251021, '3m': 50.3603288017268, '6m': 57.8879474898212}"
275,2022-12-17,"{'1m': 34.8276394597278, '1w': 43.8961984620418, '1y': 63.8549303276599, '2w': 35.2932297402435, '3m': 50.5359165463258, '6m': 57.634599183904}"
276,2022-12-18,"{'1m': 34.6252201412044, '1w': 44.0123659191855, '1y': 63.8275095171492, '2w': 35.2061977781954, '3m': 50.4621966202855, '6m': 56.544110760115}"
277,2022-12-19,"{'1m': 34.5859920093817, '1w': 43.8640770679798, '1y': 63.8042038878034, '2w': 34.5113850858597, '3m': 49.4480118133308, '6m': 55.5835043767708}"
278,2022-12-20,"{'1m': 34.7049247074023, '1w': 38.0717462687662, '1y': 63.7936313422599, '2w': 34.6570966613079, '3m': 49.1849134256461, '6m': 54.913075823012}"
279,2022-12-21,"{'1m': 32.5742057419878, '1w': 31.1307545600552, '1y': 63.6201352250705, '2w': 34.6832160643478, '3m': 49.0600996226813, '6m': 54.6671729959815}"
280,2022-12-22,"{'1m': 31.8865706543253, '1w': 29.2875563960077, '1y': 63.5850716916608, '2w': 34.1434652829623, '3m': 48.8965885021736, '6m': 54.4160928462349}"
281,2022-12-23,"{'1m': 29.6375938283747, '1w': 23.9698748159779, '1y': 63.5495094293747, '2w': 32.7811515750569, '3m': 48.6421005155922, '6m': 54.3362421857081}"
282,2022-12-24,"{'1m': 29.396563111784, '1w': 13.3107058938973, '1y': 63.3735428154785, '2w': 32.7637323016425, '3m': 48.5579955777292, '6m': 54.168369177849}"
283,2022-12-25,"{'1m': 29.2471580337528, '1w': 13.3369422560445, '1y': 63.3727977822008, '2w': 32.7635082745277, '3m': 48.5421669178426, '6m': 54.1363573583758}"
284,2022-12-26,"{'1m': 29.1767027047565, '1w': 12.244019814048, '1y': 63.3611471723596, '2w': 32.4240543720003, '3m': 48.5016341419625, '6m': 54.1190026266821}"
285,2022-12-27,"{'1m': 29.1982800900572, '1w': 9.5821128749618, '1y': 63.3220337163104, '2w': 28.2787404206969, '3m': 47.5145780480881, '6m': 54.0721264210333}"
286,2022-12-28,"{'1m': 28.5277547249387, '1w': 10.178481913247, '1y': 63.1640582772766, '2w': 24.0764779295546, '3m': 46.4311762241425, '6m': 54.028983938305}"
287,2022-12-29,"{'1m': 28.1594742722372, '1w': 10.1347184479807, '1y': 63.1041452406569, '2w': 22.4405124996392, '3m': 46.1588895641358, '6m': 53.8601492291341}"
288,2022-12-30,"{'1m': 26.180124403607, '1w': 9.22653296518999, '1y': 63.0855257033, '2w': 18.16213371842, '3m': 46.0747682134681, '6m': 53.4989249696426}"
289,2022-12-31,"{'1m': 25.7914346697571, '1w': 9.73776873314356, '1y': 63.0591012985087, '2w': 12.0929454301529, '3m': 45.8333184365139, '6m': 53.356517010073}"
290,2023-01-01,"{'1m': 25.2785897943209, '1w': 9.79479253500739, '1y': 63.034574011954, '2w': 12.027193180756, '3m': 45.7695523260332, '6m': 53.286803376423}"
291,2023-01-02,"{'1m': 25.3258401843688, '1w': 11.9071046925509, '1y': 63.0359645499881, '2w': 12.3595314712086, '3m': 45.8010872175066, '6m': 53.1994214069845}"
292,2023-01-03,"{'1m': 25.314012136429, '1w': 11.7843221525941, '1y': 63.029482930599, '2w': 10.7963032376903, '3m': 45.7354174798169, '6m': 53.1935889463417}"
293,2023-01-04,"{'1m': 25.4539538695848, '1w': 10.7624182838553, '1y': 63.0314484142504, '2w': 10.9098798787875, '3m': 45.2833593124127, '6m': 53.1001490180073}"
294,2023-01-05,"{'1m': 25.0108758449214, '1w': 10.1545232717846, '1y': 62.997683604051, '2w': 10.7546307346707, '3m': 45.1212391731891, '6m': 52.8307186888287}"
295,2023-01-06,"{'1m': 24.6709370752778, '1w': 9.56430041650024, '1y': 62.6677089177115, '2w': 10.4721415130179, '3m': 45.1019777994876, '6m': 52.7484063441694}"
296,2023-01-07,"{'1m': 24.6266246759834, '1w': 9.8966175864334, '1y': 62.6229189962598, '2w': 11.0794720442368, '3m': 44.9773167586511, '6m': 52.5450476459764}"
297,2023-01-08,"{'1m': 24.23517756108, '1w': 9.60777533171956, '1y': 62.6090993333038, '2w': 11.0441225045106, '3m': 44.8664641356285, '6m': 52.0115007710183}"
298,2023-01-09,"{'1m': 24.1022280062283, '1w': 13.2701720387562, '1y': 62.6208805615696, '2w': 13.8318536274464, '3m': 45.014973728854, '6m': 52.0512822991655}"
299,2023-01-10,"{'1m': 24.1548917821863, '1w': 13.0948835465609, '1y': 62.6123217030812, '2w': 13.7337482748013, '3m': 45.0028722508885, '6m': 51.9417776179641}"
300,2023-01-11,"{'1m': 24.3979416639016, '1w': 13.3265996441933, '1y': 62.5905878931711, '2w': 12.5963616478232, '3m': 44.9757251395388, '6m': 51.7712128493232}"
301,2023-01-12,"{'1m': 29.4956249007104, '1w': 33.0580922013388, '1y': 62.7582291107804, '2w': 26.2872516837005, '3m': 46.1376892547138, '6m': 52.0399664767652}"
302,2023-01-13,"{'1m': 30.8098353838554, '1w': 36.27750617591, '1y': 62.8627301057966, '2w': 30.3762547060658, '3m': 46.7398349826682, '6m': 52.2752129491179}"
303,2023-01-14,"{'1m': 41.7792433758289, '1w': 58.7068595844452, '1y': 63.4835169002454, '2w': 49.027635117082, '3m': 49.5018977794524, '6m': 53.5648020994343}"
304,2023-01-15,"{'1m': 41.1025159451128, '1w': 59.6896394777872, '1y': 63.4797535026913, '2w': 49.3576509610232, '3m': 49.3352679960048, '6m': 53.3701274480879}"
305,2023-01-16,"{'1m': 39.4438280367106, '1w': 60.4834944061467, '1y': 63.4975542520398, '2w': 49.3445529308227, '3m': 49.3981260331214, '6m': 53.3760901958897}"
306,2023-01-17,"{'1m': 37.755488737782, '1w': 59.7375788851126, '1y': 63.4961174596969, '2w': 48.9780044489428, '3m': 49.3803348169927, '6m': 53.2722849419009}"
307,2023-01-18,"{'1m': 38.1345073498131, '1w': 63.0312922753646, '1y': 63.4892222840236, '2w': 50.1999392899944, '3m': 49.387891833996, '6m': 53.0807252381873}"
308,2023-01-19,"{'1m': 38.913572270797204, '1w': 65.6711109173332, '1y': 63.5092104388965, '2w': 52.3019428208008, '3m': 49.4672114919095, '6m': 52.7323026671108}"
309,2023-01-20,"{'1m': 39.5265589014476, '1w': 64.7679359110897, '1y': 63.554279171134, '2w': 52.5097500503379, '3m': 49.7389788960489, '6m': 52.3131051443822}"
310,2023-01-21,"{'1m': 45.4363372138583, '1w': 56.3845770043269, '1y': 63.3820174223441, '2w': 59.5068488829111, '3m': 51.7904455911659, '6m': 53.1725757091954}"
311,2023-01-22,"{'1m': 45.6469583551591, '1w': 56.9264129245317, '1y': 62.8054619451387, '2w': 60.2491640202097, '3m': 51.8551144853579, '6m': 53.1289383316218}"
312,2023-01-23,"{'1m': 45.7428415459571, '1w': 57.5639199634559, '1y': 62.776529430784, '2w': 61.1664094407322, '3m': 51.8586617686245, '6m': 52.9449448633658}"
313,2023-01-24,"{'1m': 45.7194650880135, '1w': 57.5868847426566, '1y': 62.6864560487564, '2w': 61.0403807111534, '3m': 51.8570836801571, '6m': 52.9053811276897}"
314,2023-01-25,"{'1m': 46.3036560468466, '1w': 58.7710329579704, '1y': 62.4991822867267, '2w': 63.0513742518566, '3m': 51.7796552926155, '6m': 52.754650858578}"
315,2023-01-26,"{'1m': 46.39274473983, '1w': 55.1721239277334, '1y': 62.4487909574912, '2w': 60.7640333835569, '3m': 51.0250455916453, '6m': 52.4500193174398}"
316,2023-01-27,"{'1m': 46.4730427406462, '1w': 54.8463847505384, '1y': 62.3641685121903, '2w': 60.125504179579, '3m': 50.91730258975, '6m': 52.1493950751524}"
317,2023-01-28,"{'1m': 46.0914831946834, '1w': 23.8171192100915, '1y': 62.3145621016082, '2w': 44.9166035705533, '3m': 50.7864322369483, '6m': 51.0558312746742}"
318,2023-01-29,"{'1m': 46.0467315166809, '1w': 25.4136692139372, '1y': 62.3080520692779, '2w': 44.9807438436187, '3m': 50.7932357203479, '6m': 50.9502798581753}"
319,2023-01-30,"{'1m': 46.9535272797907, '1w': 31.2789711108239, '1y': 62.3506983660704, '2w': 47.086693248682, '3m': 51.0311746931212, '6m': 51.0258674735293}"
320,2023-01-31,"{'1m': 48.0256784444766, '1w': 35.3061031765062, '1y': 62.3539415693903, '2w': 48.981215974615, '3m': 51.1940618594264, '6m': 51.0761359198571}"
321,2023-02-01,"{'1m': 47.9986899754166, '1w': 34.2936999243041, '1y': 62.2906010342163, '2w': 48.6210005229517, '3m': 51.2458172200316, '6m': 51.0058345241392}"
322,2023-02-02,"{'1m': 48.5237886073627, '1w': 37.8699875917766, '1y': 62.3336574790178, '2w': 48.2632254160404, '3m': 51.5476537660671, '6m': 51.1407414108132}"
323,2023-02-03,"{'1m': 49.1623891016205, '1w': 39.4695141707389, '1y': 62.2469476571568, '2w': 48.4089974805648, '3m': 51.6074959412019, '6m': 51.1389778933405}"
324,2023-02-04,"{'1m': 49.4092399866513, '1w': 39.5212707238257, '1y': 61.9594257662837, '2w': 32.6512141496982, '3m': 51.3838168180261, '6m': 51.0457787674537}"
325,2023-02-05,"{'1m': 49.7964067570848, '1w': 37.8583223176709, '1y': 61.4345764517593, '2w': 32.6032812452765, '3m': 51.0277377840923, '6m': 51.0358978833604}"
326,2023-02-06,"{'1m': 50.4022158084395, '1w': 34.9876677545856, '1y': 61.4514675090762, '2w': 33.5126107595407, '3m': 51.1244823566205, '6m': 51.0701413488502}"
327,2023-02-07,"{'1m': 50.4874813015313, '1w': 31.3385997387925, '1y': 61.3254676038751, '2w': 33.3760332086188, '3m': 50.9559847378133, '6m': 51.071140713302}"
328,2023-02-08,"{'1m': 50.5574861327213, '1w': 31.1185551381375, '1y': 61.260544210641, '2w': 32.8807472315495, '3m': 49.0506929695006, '6m': 50.8954855138849}"
329,2023-02-09,"{'1m': 51.9298640907613, '1w': 25.0821308467505, '1y': 61.2870644452536, '2w': 34.2257981087526, '3m': 43.7208061564707, '6m': 50.8699093856289}"
330,2023-02-10,"{'1m': 53.9987453355784, '1w': 31.5529261094503, '1y': 61.3574074490036, '2w': 38.038716837877, '3m': 40.8217012170515, '6m': 50.907216368678704}"
331,2023-02-11,"{'1m': 54.144295385645, '1w': 31.7254203898632, '1y': 61.3015985014557, '2w': 37.9064448445351, '3m': 39.6572554857513, '6m': 50.4878626443716}"
332,2023-02-12,"{'1m': 51.9237246193718, '1w': 33.4033590118911, '1y': 61.2730247640726, '2w': 36.3359585178182, '3m': 39.3680456698742, '6m': 50.4221049391244}"
333,2023-02-13,"{'1m': 50.7242735787448, '1w': 32.778295498214, '1y': 61.2757893129904, '2w': 34.2934437486979, '3m': 39.3034784206871, '6m': 50.3286209879449}"
334,2023-02-14,"{'1m': 41.4483541827251, '1w': 34.9988554576751, '1y': 61.2950536511436, '2w': 33.8489634685113, '3m': 39.0037183213581, '6m': 50.3721366446248}"
335,2023-02-15,"{'1m': 43.4583922765854, '1w': 46.8360117067279, '1y': 61.3133417960057, '2w': 39.8145941163388, '3m': 39.4768313914875, '6m': 50.673063359059}"
336,2023-02-16,"{'1m': 52.2213313930444, '1w': 73.3889348646075, '1y': 61.9582841072485, '2w': 58.1368608916305, '3m': 42.8288387490307, '6m': 52.1431877844715}"
337,2023-02-17,"{'1m': 53.4570940736012, '1w': 71.1442045003323, '1y': 61.8993909719879, '2w': 59.8176443274019, '3m': 43.2708456932458, '6m': 52.2780353538618}"
338,2023-02-18,"{'1m': 53.8773157843064, '1w': 70.59973649088, '1y': 61.7101172500033, '2w': 61.1571426986535, '3m': 43.5176188015425, '6m': 52.3692650907027}"
339,2023-02-19,"{'1m': 53.2911357631981, '1w': 71.2000295916326, '1y': 61.7046643768434, '2w': 60.7204763520037, '3m': 43.4720310299262, '6m': 51.2977039425321}"
340,2023-02-20,"{'1m': 52.8279174926569, '1w': 70.0882407154484, '1y': 61.6148992396636, '2w': 60.1183880772943, '3m': 43.4790785005369, '6m': 50.924707097551}"
341,2023-02-21,"{'1m': 47.175641950941, '1w': 71.3034525655907, '1y': 61.6094167657919, '2w': 60.6251560836545, '3m': 42.9200267790318, '6m': 50.9518525762982}"
342,2023-02-22,"{'1m': 48.0846983681929, '1w': 73.8454382136282, '1y': 61.5472752221778, '2w': 62.5951899988787, '3m': 43.2133508495649, '6m': 51.0874612641537}"
343,2023-02-23,"{'1m': 48.1233442019048, '1w': 40.0244930878868, '1y': 61.4884548902544, '2w': 60.8735774359886, '3m': 42.8017737339711, '6m': 51.0784238770312}"
344,2023-02-24,"{'1m': 48.7569778846596, '1w': 37.5042215180865, '1y': 61.140543472295, '2w': 58.8776424481687, '3m': 43.1017928979115, '6m': 51.1780942374056}"
345,2023-02-25,"{'1m': 49.4527323168018, '1w': 33.3366903071187, '1y': 60.6819081564112, '2w': 61.0096992295894, '3m': 43.5067810245785, '6m': 51.3191968861526}"
346,2023-02-26,"{'1m': 49.2161818998457, '1w': 35.2581082725241, '1y': 60.6759192720998, '2w': 61.1517796499012, '3m': 43.5427190526741, '6m': 51.1978567681121}"
347,2023-02-27,"{'1m': 49.311661365232, '1w': 36.3820101940045, '1y': 60.6537701764455, '2w': 60.8931429195106, '3m': 43.576806585539, '6m': 50.67494016239}"
348,2023-02-28,"{'1m': 49.3131579912381, '1w': 34.1929757117273, '1y': 60.4085341001881, '2w': 60.748719197117, '3m': 43.3454003801034, '6m': 50.6684165032186}"
349,2023-03-01,"{'1m': 49.7586951156474, '1w': 32.0298900038227, '1y': 59.3682106724014, '2w': 57.843369571709204, '3m': 43.4207586368498, '6m': 50.9062630714936}"
350,2023-03-02,"{'1m': 48.7456015636491, '1w': 31.9056614105193, '1y': 59.3548373841922, '2w': 36.2157349700221, '3m': 43.4743957321224, '6m': 50.9182871806467}"
351,2023-03-03,"{'1m': 51.0056424528441, '1w': 40.6042182036698, '1y': 59.4646826175166, '2w': 39.4022945728392, '3m': 44.5368588102954, '6m': 51.2885339504236}"
352,2023-03-04,"{'1m': 51.1293107435823, '1w': 37.6913929751355, '1y': 59.2569180462503, '2w': 35.8715674753002, '3m': 44.5998230516185, '6m': 51.307523883625}"
353,2023-03-05,"{'1m': 50.9963416239416, '1w': 36.4215492867483, '1y': 59.0469901214523, '2w': 35.9469638571108, '3m': 44.5362353269028, '6m': 51.3063916008704}"
354,2023-03-06,"{'1m': 50.6822868620657, '1w': 34.5603483649628, '1y': 59.0339186649302, '2w': 35.4885287466206, '3m': 44.4378611786368, '6m': 51.207629365718}"
355,2023-03-07,"{'1m': 50.6700225579846, '1w': 34.5917038211001, '1y': 58.9880220452763, '2w': 34.4112782406365, '3m': 44.4220153286669, '6m': 50.7514126109961}"
356,2023-03-08,"{'1m': 50.6556193300479, '1w': 32.0401226633997, '1y': 58.9768218814483, '2w': 32.7184833314192, '3m': 44.4742866616145, '6m': 50.7095499241236}"
357,2023-03-09,"{'1m': 51.4234357390995, '1w': 36.901518358034, '1y': 58.5861447869264, '2w': 35.4701563048382, '3m': 45.0230334564035, '6m': 49.7394869217605}"
358,2023-03-10,"{'1m': 56.3280478693802, '1w': 52.9629444415406, '1y': 58.6951862387211, '2w': 47.9475012484881, '3m': 47.5705905140647, '6m': 50.4519805526769}"
359,2023-03-11,"{'1m': 57.0577818424449, '1w': 58.4340121176153, '1y': 58.6804465404307, '2w': 49.8101818804744, '3m': 47.770259156982, '6m': 50.5330507512607}"
360,2023-03-12,"{'1m': 57.8573320303072, '1w': 63.0482353343158, '1y': 58.7387861862803, '2w': 51.7432512533184, '3m': 47.9829776386813, '6m': 50.5451172838585}"
361,2023-03-13,"{'1m': 69.285710585052, '1w': 101.120871892919, '1y': 59.7159392878106, '2w': 76.2174336128884, '3m': 52.0435439801335, '6m': 52.1419128850499}"
362,2023-03-14,"{'1m': 74.9818241955226, '1w': 114.203026634889, '1y': 60.2941680948838, '2w': 86.9178819723441, '3m': 54.305519409259, '6m': 52.4279633104375}"
363,2023-03-15,"{'1m': 74.5833044571615, '1w': 115.507923860956, '1y': 60.3421895263788, '2w': 88.203654972847, '3m': 54.4604265317731, '6m': 52.5623992590404}"
364,2023-03-16,"{'1m': 67.826084567386, '1w': 110.619648376214, '1y': 60.2620242551551, '2w': 88.2775469871165, '3m': 54.1610450886302, '6m': 52.5590330279426}"
365,2023-03-17,"{'1m': 70.6890816808594, '1w': 86.0063200590919, '1y': 60.5736200338756, '2w': 89.2332835006289, '3m': 55.1631832385951, '6m': 53.3079304670468}"
366,2023-03-18,"{'1m': 71.8700718439388, '1w': 86.5834548895641, '1y': 60.7462419860185, '2w': 90.5687778466529, '3m': 55.8226178197405, '6m': 53.6565735606493}"
367,2023-03-19,"{'1m': 72.192981311096, '1w': 89.466673600529, '1y': 60.7289919869667, '2w': 91.1326585880548, '3m': 55.9249345663924, '6m': 53.1864922214822}"
368,2023-03-20,"{'1m': 72.5383918179679, '1w': 74.106432820428, '1y': 60.7752064168067, '2w': 91.3610742493592, '3m': 56.0616209734496, '6m': 53.152048833672}"
369,2023-03-21,"{'1m': 72.4241681100938, '1w': 60.049469801478, '1y': 60.7713391964316, '2w': 91.2465057316812, '3m': 56.092257658332, '6m': 53.0940501852926}"
370,2023-03-22,"{'1m': 71.7246557739797, '1w': 55.877926174506, '1y': 60.6984048985587, '2w': 90.7475617862264, '3m': 56.1864613607641, '6m': 53.0771671395551}"
371,2023-03-23,"{'1m': 72.3780447749475, '1w': 59.3072462947948, '1y': 60.7376908795921, '2w': 88.8115140061978, '3m': 56.4716492013156, '6m': 53.0964329777944}"
372,2023-03-24,"{'1m': 72.1550271313703, '1w': 48.7475017006199, '1y': 60.7243226973192, '2w': 75.7651539966875, '3m': 56.6573843446112, '6m': 53.164834289353}"
373,2023-03-25,"{'1m': 71.6591095463775, '1w': 40.8731862813324, '1y': 60.6993918173857, '2w': 78.4083480125585, '3m': 56.8545942899788, '6m': 53.2357307102862}"
374,2023-03-26,"{'1m': 71.6436607892857, '1w': 39.0959907123659, '1y': 60.7061477731685, '2w': 78.1964436230753, '3m': 56.8736636526064, '6m': 53.235488718516}"
375,2023-03-27,"{'1m': 72.0248020492919, '1w': 37.3443208150735, '1y': 60.7094487961282, '2w': 64.987659591048, '3m': 57.0256383038437, '6m': 52.9141014156275}"
376,2023-03-28,"{'1m': 72.7474807109574, '1w': 39.8959349994688, '1y': 60.5184956800127, '2w': 55.0092090514204, '3m': 57.2560400790279, '6m': 52.5115791528282}"
377,2023-03-29,"{'1m': 72.6352869991186, '1w': 48.9433101075858, '1y': 60.6619657335272, '2w': 55.3003754629575, '3m': 57.6915113986097, '6m': 52.7101593124538}"
378,2023-03-30,"{'1m': 71.7983153736856, '1w': 47.8320523835794, '1y': 60.704770706028, '2w': 55.4940584302007, '3m': 57.8201053174959, '6m': 52.7756041919277}"
379,2023-03-31,"{'1m': 71.0074889529513, '1w': 46.734608015967, '1y': 60.7081438630971, '2w': 48.2729706863142, '3m': 57.9651424425226, '6m': 52.700142500762}"
380,2023-04-01,"{'1m': 71.0072796946235, '1w': 44.6186178600646, '1y': 60.6200037403522, '2w': 42.9796944468535, '3m': 57.9828799235685, '6m': 52.6823918320756}"
381,2023-04-02,"{'1m': 70.9115852941194, '1w': 44.9135919770244, '1y': 60.5601792306745, '2w': 42.1214293317072, '3m': 58.0408975244616, '6m': 52.6890181182106}"
382,2023-04-03,"{'1m': 69.0333123384455, '1w': 43.9382053899193, '1y': 60.5677808617495, '2w': 40.9415619127456, '3m': 58.1521617201496, '6m': 52.7116639739238}"
383,2023-04-04,"{'1m': 68.884547437962, '1w': 39.1254451004915, '1y': 60.5689793747254, '2w': 40.7211059627702, '3m': 58.1712068564618, '6m': 52.5498908307767}"
384,2023-04-05,"{'1m': 68.9792085792982, '1w': 29.1808851909497, '1y': 60.5770318646687, '2w': 40.2778313378878, '3m': 58.2056649930203, '6m': 52.5262690465877}"
385,2023-04-06,"{'1m': 69.3188898343901, '1w': 26.0550366854299, '1y': 60.4794966511404, '2w': 38.7826719930923, '3m': 58.328625899765, '6m': 52.5708824292041}"
386,2023-04-07,"{'1m': 69.2642920947282, '1w': 22.7518267300253, '1y': 60.4006123260431, '2w': 36.8199994605637, '3m': 58.349286568409, '6m': 52.4791478744198}"
387,2023-04-08,"{'1m': 68.9380293378312, '1w': 20.5847473851087, '1y': 60.3902295608137, '2w': 35.4072784063652, '3m': 58.3491732098126, '6m': 52.4130785781232}"
388,2023-04-09,"{'1m': 67.4326304360501, '1w': 20.6454702527812, '1y': 60.3550894199952, '2w': 35.1659631531344, '3m': 58.3223728934236, '6m': 52.4154364246423}"
389,2023-04-10,"{'1m': 61.1919021079024, '1w': 24.4620707403119, '1y': 60.4003003017749, '2w': 35.5637025083096, '3m': 58.450144110505, '6m': 52.4925094697785}"
390,2023-04-11,"{'1m': 62.6958226893514, '1w': 41.331140061569, '1y': 60.4929083238921, '2w': 40.4850591236033, '3m': 59.2276142781485, '6m': 52.9349938919391}"
391,2023-04-12,"{'1m': 62.6049696548661, '1w': 41.8380499050846, '1y': 60.3738038413907, '2w': 36.6462623978787, '3m': 58.5597161060103, '6m': 52.9488833524127}"
392,2023-04-13,"{'1m': 53.2217907036967, '1w': 38.6418359063506, '1y': 60.3433581332477, '2w': 35.1395432621001, '3m': 58.1462683575223, '6m': 52.9113725769965}"
393,2023-04-14,"{'1m': 46.3896711212108, '1w': 38.0478846670024, '1y': 60.2958319354519, '2w': 34.1777884013659, '3m': 55.6586901296632, '6m': 52.7440155911074}"
394,2023-04-15,"{'1m': 45.3275050337635, '1w': 40.0026658426881, '1y': 60.262708473925, '2w': 34.5021953757281, '3m': 55.6640860084814, '6m': 52.6560622830114}"
395,2023-04-16,"{'1m': 45.0351917512063, '1w': 40.2281854403173, '1y': 60.2579070059997, '2w': 34.1516786483821, '3m': 55.6382377459502, '6m': 52.6569487907207}"
396,2023-04-17,"{'1m': 41.1202385853871, '1w': 43.9052854488323, '1y': 60.2944950760943, '2w': 35.5617654921939, '3m': 55.8502886806601, '6m': 52.7462978796175}"
397,2023-04-18,"{'1m': 38.8079958346281, '1w': 28.0747019882919, '1y': 60.2816778402098, '2w': 36.8060423119451, '3m': 55.929082897295, '6m': 52.800554654874404}"
398,2023-04-19,"{'1m': 39.7376694514138, '1w': 34.9867160923506, '1y': 60.2386179962371, '2w': 39.8019346199335, '3m': 56.1152273300575, '6m': 52.9364483378845}"
399,2023-04-20,"{'1m': 40.6269646247492, '1w': 39.4173611438976, '1y': 60.3058756131141, '2w': 42.8264647567116, '3m': 56.3761203662193, '6m': 53.1577143690608}"
400,2023-04-21,"{'1m': 41.4171734452889, '1w': 36.9134268510493, '1y': 60.3407867684868, '2w': 44.9190359570934, '3m': 54.7821286627084, '6m': 53.2913574587466}"
401,2023-04-22,"{'1m': 41.8724593387919, '1w': 38.8290166967336, '1y': 60.2659508272459, '2w': 46.7569911408196, '3m': 54.9937200005737, '6m': 53.4304164141399}"
402,2023-04-23,"{'1m': 41.0691514917484, '1w': 40.8913774696197, '1y': 60.2494685837419, '2w': 46.9603374227698, '3m': 55.0009370923256, '6m': 53.4361032345374}"
403,2023-04-24,"{'1m': 40.2796526343059, '1w': 40.7365613859821, '1y': 60.2509620695649, '2w': 45.1714090413799, '3m': 54.9970386219067, '6m': 53.4326995164959}"
404,2023-04-25,"{'1m': 39.979892889785, '1w': 37.681420311496, '1y': 60.2363441167124, '2w': 34.8997888526462, '3m': 54.9474551790793, '6m': 53.3714771742155}"
405,2023-04-26,"{'1m': 43.8384952323781, '1w': 54.3014697170413, '1y': 60.3470342377446, '2w': 45.6473469945406, '3m': 55.8348663828354, '6m': 53.4699073061498}"
